Name,Archived,Description,Parent IDs,Parent names,Crop/variety,Season,Area/Location
2022-W01 Parsley HVE24-N,,Length (m): 8.91; Nr of plants: 320,,,Parsley,WINTER,HortasDoVale-East (HDVE) - bed 24 north section
2022-W01 Radishes SGH4-N,,Length (m): 8.02; Nr of plants: 144,,,Radishes,WINTER,Summer Green House (SGH) - bed 4 north section
2022-W01 Salanova HVE24-N,,Length (m): 11.6; Nr of plants: 208,,,Salanova,WINTER,HortasDoVale-East (HDVE) - bed 24 north section
2022-W01 Salanova HVE24-S,,Length (m): 4.45; Nr of plants: 160,,,Salanova,WINTER,HortasDoVale-East (HDVE) - bed 24 south section
2022-W02 Lettuce SGH3-N,,Length (m): 8.02; Nr of plants: 144,,,Lettuce,WINTER,Summer Green House (SGH) - bed 3 north section
2022-W02 Onion HVE01,,Length (m): 55.2; Nr of plants: 2208,,,Onion,WINTER,HortasDoVale-East (HDVE) - bed 1
2022-W02 Onion HVE02,,Length (m): 55.2; Nr of plants: 2208,,,Onion,WINTER,HortasDoVale-East (HDVE) - bed 2
2022-W03 Garlic HVE15-S,,Length (m): 28.5; Nr of plants: 1140,,,Garlic,WINTER,HortasDoVale-East (HDVE) - bed 15 south section
2022-W03 Garlic HVE26-S,,Length (m): 28.5; Nr of plants: 1140,,,Garlic,WINTER,HortasDoVale-East (HDVE) - bed 26 south section
2022-W04 Aubergine WGH7,,Length (m): 10.7; Nr of plants: 48,,,Aubergine,WINTER,Winter Green House - bed 7
2022-W04 Aubergine WGH8,,Length (m): 9.8; Nr of plants: 44,,,Aubergine,WINTER,Winter Green House - bed 8
2022-W04 Beetroot HVE16-S,,Length (m): 23.2; Nr of plants: 417,,,Beetroot,WINTER,HortasDoVale-East (HDVE) - bed 16 south section
2022-W04 Carrot WGH5,,Length (m): 21.4; Nr of plants: 4280,,,Carrot,WINTER,Winter Green House - bed 5
2022-W04 Lettuce HVE13-S,,Length (m): 12.5; Nr of plants: 225,,,Lettuce,WINTER,HortasDoVale-East (HDVE) - bed 13 south section
2022-W04 Potato HVE19,,Length (m): 55.2; Nr of plants: 276,,,Potato,WINTER,HortasDoVale-East (HDVE) - bed 19
2022-W04 Potato HVE20,,Length (m): 55.2; Nr of plants: 276,,,Potato,WINTER,HortasDoVale-East (HDVE) - bed 20
2022-W04 Radishes WGH5,,Length (m): 2.67; Nr of plants: 400,,,Radishes,WINTER,Winter Green House - bed 5
2022-W04 Spinaches HVE13-S,,Length (m): 16; Nr of plants: 576,,,Spinaches,WINTER,HortasDoVale-East (HDVE) - bed 13 south section
2022-W05 Beetroot HVE21-N,,Length (m): 25.8; Nr of plants: 180,,,Beetroot,WINTER,HortasDoVale-East (HDVE) - bed 21 north section
2022-W05 Chinese cabbage HVE21-S,,Length (m): 9.8; Nr of plants: 176,,,Chinese cabbage,WINTER,HortasDoVale-East (HDVE) - bed 21 south section
2022-W05 Green cabbage HVE21-N,,Length (m): 25.8; Nr of plants: 116,,,Green cabbage,WINTER,HortasDoVale-East (HDVE) - bed 21 north section
2022-W05 Kolrabi HVE21-N,,Length (m): 25.8; Nr of plants: 116,,,Kolrabi,WINTER,HortasDoVale-East (HDVE) - bed 21 north section
2022-W05 Lambs lettuce HVE21-S,,Length (m): 8.91; Nr of plants: 320,,,Lambs lettuce,WINTER,HortasDoVale-East (HDVE) - bed 21 south section
2022-W05 Mizuna green HVE21-S,,Length (m): 5.34; Nr of plants: 192,,,Mizuna green,WINTER,HortasDoVale-East (HDVE) - bed 21 south section
2022-W06 Coriander HVE23-S,,Length (m): 10.7; Nr of plants: 385,,,Coriander,WINTER,HortasDoVale-East (HDVE) - bed 23 south section
2022-W06 Green cabbage HVE27,,Length (m): 49.8; Nr of plants: 224,,,Green cabbage,WINTER,HortasDoVale-East (HDVE) - bed 27
