Name,Archived,Description,Parent IDs,Parent names,Crop/variety,Season,Area/Location
2021-W29 Zucchini HVW07-N,,Length (m): 19.6; Nr of plants: 19,,,Zucchini,SUMMER,HortasDoVale-West (HDVW) - bed 7 north section
2021-W30 Broccoli HVW21,,Length (m): 57; Nr of plants: 256,,,Broccoli,SUMMER,HortasDoVale-West (HDVW) - bed 21
2021-W30 Lettuce HVW21,,Length (m): 57; Nr of plants: 512,,,Lettuce,SUMMER,HortasDoVale-West (HDVW) - bed 21
2021-W31 Celery HVW15-N,,Length (m): 12.5; Nr of plants: 225,,,Celery,SUMMER,HortasDoVale-West (HDVW) - bed 15 north section
2021-W31 Parsley HVW15-N,,Length (m): 5.34; Nr of plants: 192,,,Parsley,SUMMER,HortasDoVale-West (HDVW) - bed 15 north section
2021-W31 Tomatoes small HVW01-N,,Length (m): 10.7; Nr of plants: 10,,,Tomatoes small,SUMMER,HortasDoVale-West (HDVW) - bed 1 north section
2021-W31 Tomatoes small HVW01-S,,Length (m): 4.45; Nr of plants: 4,,,Tomatoes small,SUMMER,HortasDoVale-West (HDVW) - bed 1 south section
2021-W31 Tomatoes varied HVW01-N,,Length (m): 17.8; Nr of plants: 17,,,Tomatoes varied,SUMMER,HortasDoVale-West (HDVW) - bed 1 north section
2021-W31 Tomatoes varied HVW01-S,,Length (m): 8.02; Nr of plants: 8,,,Tomatoes varied,SUMMER,HortasDoVale-West (HDVW) - bed 1 south section
2021-W32 Basil HVW01-N,,Length (m): 28.5; Nr of plants: 128,,,Basil,SUMMER,HortasDoVale-West (HDVW) - bed 1 north section
2021-W32 Basil HVW01-S,,Length (m): 12.5; Nr of plants: 56,,,Basil,SUMMER,HortasDoVale-West (HDVW) - bed 1 south section
2021-W32 Beetroot HVW01-N,,Length (m): 28.5; Nr of plants: 199,,,Beetroot,SUMMER,HortasDoVale-West (HDVW) - bed 1 north section
2021-W32 Beetroot HVW01-S,,Length (m): 12.5; Nr of plants: 87,,,Beetroot,SUMMER,HortasDoVale-West (HDVW) - bed 1 south section
2021-W32 Dinosaur kale HVW09-N,,Length (m): 18.7; Nr of plants: 168,,,Dinosaur kale,SUMMER,HortasDoVale-West (HDVW) - bed 9 north section
2021-W32 Green cabbage HVW19,,Length (m): 57; Nr of plants: 256,,,Green cabbage,SUMMER,HortasDoVale-West (HDVW) - bed 19
2021-W32 Kolrabi HVW19,,Length (m): 57; Nr of plants: 256,,,Kolrabi,SUMMER,HortasDoVale-West (HDVW) - bed 19
2021-W32 Leek HVE13-S,,Length (m): 27.6; Nr of plants: 966,,,Leek,SUMMER,HortasDoVale-East (HDVE) - bed 13 south section
2021-W33 Butternut Squash HVE27-S,,Length (m): 8.02; Nr of plants: 8,,,Butternut Squash,SUMMER,HortasDoVale-East (HDVE) - bed 27 south section
2021-W33 Butternut Squash HVW09-S,,Length (m): 27.6; Nr of plants: 27,,,Butternut Squash,SUMMER,HortasDoVale-West (HDVW) - bed 9 south section
2021-W33 Coriander HVW23-N,,Length (m): 6.23; Nr of plants: 224,,,Coriander,SUMMER,HortasDoVale-West (HDVW) - bed 23 north section
2021-W33 Hokkaido Squash HVE27-N,,Length (m): 24.9; Nr of plants: 24,,,Hokkaido Squash,SUMMER,HortasDoVale-East (HDVE) - bed 27 north section
2021-W33 Hokkaido Squash HVE27-S,,Length (m): 16.9; Nr of plants: 16,,,Hokkaido Squash,SUMMER,HortasDoVale-East (HDVE) - bed 27 south section
2021-W33 Tomatoes varied HVW03-N,,Length (m): 28.5; Nr of plants: 28,,,Tomatoes varied,SUMMER,HortasDoVale-West (HDVW) - bed 3 north section
2021-W34 Beetroot HVW13-N,,Length (m): 12.5; Nr of plants: 225,,,Beetroot,SUMMER,HortasDoVale-West (HDVW) - bed 13 north section
2021-W34 Brussels sprouts HVW11-S,,Length (m): 13.4; Nr of plants: 60,,,Brussels sprouts,SUMMER,HortasDoVale-West (HDVW) - bed 11 south section
2021-W34 Cucumber HVW11-N,,Length (m): 14.3; Nr of plants: 64,,,Cucumber,SUMMER,HortasDoVale-West (HDVW) - bed 11 north section
2021-W34 Green pea pods HVW10-N,,Length (m): 14.3; Nr of plants: 257,,,Green pea pods,SUMMER,HortasDoVale-West (HDVW) - bed 10 north section
2021-W34 Green peas HVW10-N,,Length (m): 14.3; Nr of plants: 257,,,Green peas,SUMMER,HortasDoVale-West (HDVW) - bed 10 north section
2021-W34 Horseradish HVW10-S,,Length (m): 14.3; Nr of plants: 2145,,,Horseradish,SUMMER,HortasDoVale-West (HDVW) - bed 10 south section
2021-W34 Leef cabbage HVW11-S,,Length (m): 19.6; Nr of plants: 88,,,Leef cabbage,SUMMER,HortasDoVale-West (HDVW) - bed 11 south section
2021-W34 Lettuce HVW13-N,,Length (m): 14.3; Nr of plants: 257,,,Lettuce,SUMMER,HortasDoVale-West (HDVW) - bed 13 north section
2021-W34 Lettuce SGH4-S,,Length (m): 9.8; Nr of plants: 176,,,Lettuce,SUMMER,Summer Green House (SGH) - bed 4 south section
2021-W34 Mizuna green HVW23-N,,Length (m): 1.78; Nr of plants: 64,,,Mizuna green,SUMMER,HortasDoVale-West (HDVW) - bed 23 north section
2021-W34 Mizuna purple HVW23-N,,Length (m): 4.45; Nr of plants: 160,,,Mizuna purple,SUMMER,HortasDoVale-West (HDVW) - bed 23 north section
2021-W34 Pack choi WGH4,,Length (m): 5.34; Nr of plants: 96,,,Pack choi,SUMMER,Winter Green House - bed 4
2021-W34 Radishes SGH3-S,,Length (m): 5.34; Nr of plants: 801,,,Radishes,SUMMER,Summer Green House (SGH) - bed 3 south section
2021-W34 Rucula HVW23-N,,Length (m): 5.34; Nr of plants: 192,,,Rucula,SUMMER,HortasDoVale-West (HDVW) - bed 23 north section
2021-W34 Rucula WGH4,,Length (m): 1.78; Nr of plants: 64,,,Rucula,SUMMER,Winter Green House - bed 4
2021-W34 Sprouting turnip HVE25-N,,Length (m): 13.4; Nr of plants: 1742,,,Sprouting turnip,SUMMER,HortasDoVale-East (HDVE) - bed 25 north section
2021-W34 Tomato roma WGH2,,Length (m): 15.1; Nr of plants: 37,,,Tomato roma,SUMMER,Winter Green House - bed 2
2021-W34 Tomatoes varied WGH1,,Length (m): 22.3; Nr of plants: 22,,,Tomatoes varied,SUMMER,Winter Green House - bed 1
2021-W34 Turnip greens HVE25-N,,Length (m): 13.4; Nr of plants: 1742,,,Turnip greens,SUMMER,HortasDoVale-East (HDVE) - bed 25 north section
2021-W34 Zucchini HVW11-N,,Length (m): 13.4; Nr of plants: 13,,,Zucchini,SUMMER,HortasDoVale-West (HDVW) - bed 11 north section
2021-W35 Beetroot HVW09-N,,Length (m): 13.4; Nr of plants: 241,,,Beetroot,SUMMER,HortasDoVale-West (HDVW) - bed 9 north section
2021-W35 Coriander SGH4-N,,Length (m): 4.45; Nr of plants: 160,,,Coriander,SUMMER,Summer Green House (SGH) - bed 4 north section
2021-W35 Peppers WGH2,,Length (m): 7.13; Nr of plants: 32,,,Peppers,SUMMER,Winter Green House - bed 2
2021-W35 Rucula SGH4-N,,Length (m): 1.78; Nr of plants: 64,,,Rucula,SUMMER,Summer Green House (SGH) - bed 4 north section
2021-W35 Spring onion HVE10,,Length (m): 55.2; Nr of plants: 2208,,,Spring onion,SUMMER,HortasDoVale-East (HDVE) - bed 10
2021-W36 Coaulifower HVW04-S,,Length (m): 17.8; Nr of plants: 80,,,Coaulifower,SUMMER,HortasDoVale-West (HDVW) - bed 4 south section
2021-W36 Dill HVW15-S,,Length (m): 3.56; Nr of plants: 64,,,Dill,SUMMER,HortasDoVale-West (HDVW) - bed 15 south section
2021-W36 Fennel bulb HVW23-N,,Length (m): 9.8; Nr of plants: 176,,,Fennel bulb,SUMMER,HortasDoVale-West (HDVW) - bed 23 north section
2021-W36 Green beans dwarf normal HVE26-S,,Length (m): 23.2; Nr of plants: 116,,,Green beans dwarf normal,SUMMER,HortasDoVale-East (HDVE) - bed 26 south section
2021-W36 Green cabbage HVW04-N,,Length (m): 8.02; Nr of plants: 36,,,Green cabbage,SUMMER,HortasDoVale-West (HDVW) - bed 4 north section
2021-W36 Green cabbage HVW04-S,,Length (m): 11.6; Nr of plants: 52,,,Green cabbage,SUMMER,HortasDoVale-West (HDVW) - bed 4 south section
2021-W36 Leek HVE26-N,,Length (m): 23.2; Nr of plants: 928,,,Leek,SUMMER,HortasDoVale-East (HDVE) - bed 26 north section
2021-W36 Lettuce WGH4,,Length (m): 1.96; Nr of plants: 35,,,Lettuce,SUMMER,Winter Green House - bed 4
2021-W36 Pack choi WGH4,,Length (m): 1.51; Nr of plants: 27,,,Pack choi,SUMMER,Winter Green House - bed 4
2021-W36 Swiss chard HVW15-S,,Length (m): 16; Nr of plants: 144,,,Swiss chard,SUMMER,HortasDoVale-West (HDVW) - bed 15 south section
2021-W36 Turnip HVW10-S,,Length (m): 14.3; Nr of plants: 1859,,,Turnip,SUMMER,HortasDoVale-West (HDVW) - bed 10 south section
2021-W37 Kolrabi HVW04-N,,Length (m): 8.02; Nr of plants: 36,,,Kolrabi,AUTUMN,HortasDoVale-West (HDVW) - bed 4 north section
2021-W37 Kolrabi HVW04-S,,Length (m): 28.5; Nr of plants: 128,,,Kolrabi,AUTUMN,HortasDoVale-West (HDVW) - bed 4 south section
2021-W37 Lettuce HVW04-N,,Length (m): 8.02; Nr of plants: 144,,,Lettuce,AUTUMN,HortasDoVale-West (HDVW) - bed 4 north section
2021-W37 Lettuce HVW04-S,,Length (m): 15.1; Nr of plants: 271,,,Lettuce,AUTUMN,HortasDoVale-West (HDVW) - bed 4 south section
2021-W37 Lettuce SGH2-N,,Length (m): 5.34; Nr of plants: 42,,,Lettuce,AUTUMN,Summer Green House (SGH) - bed 2 north section
2021-W37 Mizuna green HVW23-S,,Length (m): 2.67; Nr of plants: 96,,,Mizuna green,AUTUMN,HortasDoVale-West (HDVW) - bed 23 south section
2021-W37 Rucula HVW23-S,,Length (m): 8.91; Nr of plants: 320,,,Rucula,AUTUMN,HortasDoVale-West (HDVW) - bed 23 south section
2021-W37 Spinaches HVW23-S,,Length (m): 2.67; Nr of plants: 96,,,Spinaches,AUTUMN,HortasDoVale-West (HDVW) - bed 23 south section
2021-W38 Carrot HVE03,,Length (m): 55.2; Nr of plants: 11040,,,Carrot,AUTUMN,HortasDoVale-East (HDVE) - bed 3
2021-W38 N.Z. Spinaches HVW23-S,,Length (m): 10.7; Nr of plants: 96,,,N.Z. Spinaches,AUTUMN,HortasDoVale-West (HDVW) - bed 23 south section
2021-W38 Rucula SGH2-N,,Length (m): 5.34; Nr of plants: 192,,,Rucula,AUTUMN,Summer Green House (SGH) - bed 2 north section
2021-W38 Spring onion HVE01,,Length (m): 55.2; Nr of plants: 220,,,Spring onion,AUTUMN,HortasDoVale-East (HDVE) - bed 1
2021-W38 Spring onion HVE09-N,,Length (m): 24.9; Nr of plants: 996,,,Spring onion,AUTUMN,HortasDoVale-East (HDVE) - bed 9 north section
2021-W38 Sprouting turnip HVE25-S,,Length (m): 13.4; Nr of plants: 1742,,,Sprouting turnip,AUTUMN,HortasDoVale-East (HDVE) - bed 25 south section
2021-W38 Turnip greens HVE25-S,,Length (m): 13.4; Nr of plants: 1742,,,Turnip greens,AUTUMN,HortasDoVale-East (HDVE) - bed 25 south section
2021-W39 Beetroot HVW16,,Length (m): 29; Nr of plants: 144,,,Beetroot,AUTUMN,HortasDoVale-West (HDVW) - bed 16
2021-W39 Broccoli HVW16-N,,Length (m): 14.5; Nr of plants: 65,,,Broccoli,AUTUMN,HortasDoVale-West (HDVW) - bed 16 north section
2021-W39 Broccoli HVW16-S,,Length (m): 28.5; Nr of plants: 128,,,Broccoli,AUTUMN,HortasDoVale-West (HDVW) - bed 16 south section
2021-W39 Curly kale HVW16-N,,Length (m): 3.12; Nr of plants: 28,,,Curly kale,AUTUMN,HortasDoVale-West (HDVW) - bed 16 north section
2021-W39 Dinosaur kale HVW16-N,,Length (m): 6.41; Nr of plants: 115,,,Dinosaur kale,AUTUMN,HortasDoVale-West (HDVW) - bed 16 north section
2021-W39 Galega kale HVW16-N,,Length (m): 4.45; Nr of plants: 80,,,Galega kale,AUTUMN,HortasDoVale-West (HDVW) - bed 16 north section
2021-W39 Leek HVE09-S,,Length (m): 16; Nr of plants: 480,,,Leek,AUTUMN,HortasDoVale-East (HDVE) - bed 9 south section
2021-W39 Radishes WGH7,,Length (m): 9.8; Nr of plants: 1470,,,Radishes,AUTUMN,Winter Green House - bed 7
2021-W39 Salanova SGH4-N,,Length (m): 7.13; Nr of plants: 128,,,Salanova,AUTUMN,Summer Green House (SGH) - bed 4 north section
2021-W39 Turnip HVW18-S,,Length (m): 28.5; Nr of plants: 3705,,,Turnip,AUTUMN,HortasDoVale-West (HDVW) - bed 18 south section
2021-W41 Cucumber WGH4,,Length (m): 7.13; Nr of plants: 32,,,Cucumber,AUTUMN,Winter Green House - bed 4
2021-W41 Potato HVE08,,Length (m): 55.2; Nr of plants: 276,,,Potato,AUTUMN,HortasDoVale-East (HDVE) - bed 8
2021-W41 Spinaches HVW15-S,,Length (m): 8.02; Nr of plants: 144,,,Spinaches,AUTUMN,HortasDoVale-West (HDVW) - bed 15 south section
2021-W41 Zucchini WGH3,,Length (m): 15.1; Nr of plants: 12,,,Zucchini,AUTUMN,Winter Green House - bed 3
2021-W41 Zucchini WGH4,,Length (m): 22.3; Nr of plants: 17,,,Zucchini,AUTUMN,Winter Green House - bed 4
2021-W42 Beetroot HVE11-N,,Length (m): 28.5; Nr of plants: 199,,,Beetroot,AUTUMN,HortasDoVale-East (HDVE) - bed 11 north section
2021-W42 Beetroot HVE11-S,,Length (m): 28.5; Nr of plants: 199,,,Beetroot,AUTUMN,HortasDoVale-East (HDVE) - bed 11 south section
2021-W42 Broccoli HVE11-N,,Length (m): 28.5; Nr of plants: 128,,,Broccoli,AUTUMN,HortasDoVale-East (HDVE) - bed 11 north section
2021-W42 Coaulifower HVE11-S,,Length (m): 16; Nr of plants: 72,,,Coaulifower,AUTUMN,HortasDoVale-East (HDVE) - bed 11 south section
2021-W42 Green cabbage HVE11-S,,Length (m): 8.91; Nr of plants: 40,,,Green cabbage,AUTUMN,HortasDoVale-East (HDVE) - bed 11 south section
2021-W42 Lambs lettuce HVW15-S,,Length (m): 2.4; Nr of plants: 86,,,Lambs lettuce,AUTUMN,HortasDoVale-West (HDVW) - bed 15 south section
2021-W43 Broad beans HVE14-N,,Length (m): 27.6; Nr of plants:,,,Broad beans,AUTUMN,HortasDoVale-East (HDVE) - bed 14 north section
2021-W43 Coaulifower HVW18-N,,Length (m): 14.3; Nr of plants: 64,,,Coaulifower,AUTUMN,HortasDoVale-West (HDVW) - bed 18 north section
2021-W43 Green cabbage HVW18-N,,Length (m): 13.4; Nr of plants: 90,,,Green cabbage,AUTUMN,HortasDoVale-West (HDVW) - bed 18 north section
2021-W43 Green pea pods HVE14-S,,Length (m): 14.3; Nr of plants: 257,,,Green pea pods,AUTUMN,HortasDoVale-East (HDVE) - bed 14 south section
2021-W43 Green peas HVE14-S,,Length (m): 14.3; Nr of plants: 257,,,Green peas,AUTUMN,HortasDoVale-East (HDVE) - bed 14 south section
2021-W43 Horseradish HVE12-N,,Length (m): 6.23; Nr of plants: 934,,,Horseradish,AUTUMN,HortasDoVale-East (HDVE) - bed 12 north section
2021-W43 Kolrabi HVW18-N,,Length (m): 28.5; Nr of plants: 128,,,Kolrabi,AUTUMN,HortasDoVale-West (HDVW) - bed 18 north section
2021-W43 Lettuce HVE11-N,,Length (m): 28.5; Nr of plants: 64,,,Lettuce,AUTUMN,HortasDoVale-East (HDVE) - bed 11 north section
2021-W43 Lettuce HVE11-S,,Length (m): 28.5; Nr of plants: 64,,,Lettuce,AUTUMN,HortasDoVale-East (HDVE) - bed 11 south section
2021-W43 Lettuce HVW18-N,,Length (m): 28.5; Nr of plants: 128,,,Lettuce,AUTUMN,HortasDoVale-West (HDVW) - bed 18 north section
2021-W43 Radishes HVE13-N,,Length (m): 9.8; Nr of plants:,,,Radishes,AUTUMN,HortasDoVale-East (HDVE) - bed 13 north section
2021-W43 Spinaches HVE12-N,,Length (m): 4.76; Nr of plants:,,,Spinaches,AUTUMN,HortasDoVale-East (HDVE) - bed 12 north section
2021-W43 Sprouting turnip HVE12-N,,Length (m): 8.02; Nr of plants: 1042,,,Sprouting turnip,AUTUMN,HortasDoVale-East (HDVE) - bed 12 north section
2021-W43 Turnip greens HVE12-N,,Length (m): 8.02; Nr of plants: 1042,,,Turnip greens,AUTUMN,HortasDoVale-East (HDVE) - bed 12 north section
2021-W43 Turnip HVE13-N,,Length (m): 18.7; Nr of plants: 2431,,,Turnip,AUTUMN,HortasDoVale-East (HDVE) - bed 13 north section
2021-W44 Coriander SGH2-N,,Length (m): 4.36; Nr of plants: 156,,,Coriander,AUTUMN,Summer Green House (SGH) - bed 2 north section
