species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 4 north section,"18,5",,2020-49 Swiss chard Autumn HVW04-N,harvest from 2020-49 Swiss chard Autumn HVW04-N,true,2022-05-02,,,,plantings,weight,Kg
Land cress,Summer Green House (SGH) - bed 4 north section,"1,65",,2022-W13 Land cress SGH4-N,harvest from 2022-W13 Land cress SGH4-N,true,2022-05-02,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 23 north section,"12,9",,2021-W52 Celery HVE23-N,harvest from 2021-W52 Celery HVE23-N,true,2022-05-02,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 26 north section,"16,5",,2022-W10 Lettuce HVE26-N,harvest from 2022-W10 Lettuce HVE26-N,true,2022-05-02,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 4,"5,4",,2021-W37 Lettuce HVW04-N,harvest from 2021-W37 Lettuce HVW04-N,true,2022-05-02,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 18 south section,16,,2021-W46 Leek HVE18-S,harvest from 2021-W46 Leek HVE18-S,true,2022-05-02,,,,plantings,weight,Kg
Garlic,HortasDoVale-East (HDVE) - bed 18 north section,"1,96",,2021-W46 Garlic HVE18-N,harvest from 2021-W46 Garlic HVE18-N,true,2022-05-02,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 24 south section,"1,5",,2022-W14 Dill HVE24-S,harvest from 2022-W14 Dill HVE24-S,true,2022-05-02,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 19,"45,8",,2022-W04 Potato HVE19,harvest from 2022-W04 Potato HVE19,true,2022-05-02,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 16 south section,"16,5",,2022-W04 Beetroot HVE16-S,harvest from 2022-W04 Beetroot HVE16-S,true,2022-05-02,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 21 north section,4,,2022-W05 Beetroot HVE21-N,harvest from 2022-W05 Beetroot HVE21-N,true,2022-05-02,,,,plantings,weight,Kg
Lambs lettuce,Summer Green House (SGH) - bed 4 south section,"1,68",,2022-W10 Lambs lettuce SGH4-S,harvest from 2022-W10 Lambs lettuce SGH4-S,true,2022-05-02,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 9 north section,"6,6",,2021-W38 Spring onion HVE09-N,harvest from 2021-W38 Spring onion HVE09-N,true,2022-05-02,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,05",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-05-02,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 23 south section,"1,105",,2022-W06 Coriander HVE23-S,harvest from 2022-W06 Coriander HVE23-S,true,2022-05-02,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"4,4",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-05-02,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 21 north section,"6,4",,2022-W05 Green cabbage HVE21-N,harvest from 2022-W05 Green cabbage HVE21-N,true,2022-05-02,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 27,"6,9",,2022-W06 Green cabbage HVE27,harvest from 2022-W06 Green cabbage HVE27,true,2022-05-02,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 21 north section,"8,4",,2022-W05 Kolrabi HVE21-N,harvest from 2022-W05 Kolrabi HVE21-N,true,2022-05-02,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 27,"8,2",,2022-W06 Kolrabi HVE27,harvest from 2022-W06 Kolrabi HVE27,true,2022-05-02,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 14 south section,"4,4",,2022-W08 Dinosaur kale HVE14-S,harvest from 2022-W08 Dinosaur kale HVE14-S,true,2022-05-02,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 10 south section,"6,9",,2022-W10 Chinese cabbage HVE10-S,harvest from 2022-W10 Chinese cabbage HVE10-S,true,2022-05-02,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 1,"1,85",,2022-W09 Zucchini WGH1,harvest from 2022-W09 Zucchini WGH1,true,2022-05-02,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 2,"1,63",,2022-W09 Zucchini WGH2,harvest from 2022-W09 Zucchini WGH2,true,2022-05-02,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 5,"0,4",,2021-W10 Zucchini WGH5,harvest from 2021-W10 Zucchini WGH5,true,2022-05-02,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 1,2,,2022-W09 Zucchini WGH1,harvest from 2022-W09 Zucchini WGH1,true,2022-05-02,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 2,"2,5",,2022-W09 Zucchini WGH2,harvest from 2022-W09 Zucchini WGH2,true,2022-05-02,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 5,"0,6",,2021-W10 Zucchini WGH5,harvest from 2021-W10 Zucchini WGH5,true,2022-05-02,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 23 south section,"6,498",,2022-W14 Spinaches HVE23-S,harvest from 2022-W14 Spinaches HVE23-S,true,2022-05-02,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 14 north section,5,,2021-W43 Broad beans HVE14-N,harvest from 2021-W43 Broad beans HVE14-N,true,2022-05-02,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 17,7,,2021-W48 Broad beans HVE17,harvest from 2021-W48 Broad beans HVE17,true,2022-05-02,,,,plantings,weight,Kg
Mizuna purple,HortasDoVale-East (HDVE) - bed 13 south section,"2,1",,2022-W14 Mizuna purple HVE13-S,harvest from 2022-W14 Mizuna purple HVE13-S,true,2022-05-02,,,,plantings,weight,Kg
Mizuna green,HortasDoVale-East (HDVE) - bed 13 south section,"1,8",,2022-W14 Mizuna green HVE13-S,harvest from 2022-W14 Mizuna green HVE13-S,true,2022-05-02,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,3,,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-05-02,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,"3,2",,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-05-02,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,"5,1",,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-05-02,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 24,"2,45",,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,true,2022-05-02,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,"2,9",,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,true,2022-05-02,,,,plantings,weight,Kg
Pack choi,HortasDoVale-East (HDVE) - bed 24,"16,86",,2022-W14 Pack choi HVE24,harvest from 2022-W14 Pack choi HVE24,true,2022-05-02,,,,plantings,weight,Kg
Cucumber,Winter Green House - bed 1,"2,8",,2022-W09 Cucumber WGH1,harvest from 2022-W09 Cucumber WGH1,true,2022-05-02,,,,plantings,weight,Kg
Radishes,Summer Green House (SGH) - bed 2 north section,"9,5",,2022-W13 Radishes SGH2-N,harvest from 2022-W13 Radishes SGH2-N,true,2022-05-02,,,,plantings,weight,Kg
Horseradish,HortasDoVale-East (HDVE) - bed 22 south section,"9,1",,2022-W06 Horseradish HVE22-S,harvest from 2022-W06 Horseradish HVE22-S,true,2022-05-02,,,,plantings,weight,Kg
Rucula,HortasDoVale-East (HDVE) - bed 23 north section,"2,5",,2022-W14 Rucula HVE23-N,harvest from 2022-W14 Rucula HVE23-N,true,2022-05-02,,,,plantings,weight,Kg
Parsley,HortasDoVale-East (HDVE) - bed 24 north section,"0,4",,2022-W01 Parsley HVE24-N,harvest from 2022-W01 Parsley HVE24-N,true,2022-05-02,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 2 north section,"0,6",,2021-W08 Parsley SGH2-N,harvest from 2021-W08 Parsley SGH2-N,true,2022-05-02,,,,plantings,weight,Kg
