species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut squash,HortasDoVale-East (HDVE) - bed 17,"4,05",,2022-W20 Butternut squash HVE17,harvest from 2022-W20 Butternut squash HVE17,true,2022-08-15,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale-East (HDVE) - bed 17,"8,27",,2022-W20 Hokkaido squash HVE17,harvest from 2022-W20 Hokkaido squash HVE17,true,2022-08-15,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"5,4",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-08-15,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,"7,5",,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-08-15,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 13 north section,"9,6",,2022-W22 Celery HVW13-N,harvest from 2022-W22 Celery HVW13-N,true,2022-08-15,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 2,"3,2",,2022-W30 Lettuce HVE02-S,harvest from 2022-W30 Lettuce HVE02-S,true,2022-08-15,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 21 north section,"9,9",,2022-W28 Lettuce HVE21-N,harvest from 2022-W28 Lettuce HVE21-N,true,2022-08-15,,,,plantings,weight,Kg
Lettuce,Summer Green House (SGH) - bed 4 north section,"0,5",,2022-W27 Lettuce SGH4-N,harvest from 2022-W27 Lettuce SGH4-N,true,2022-08-15,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 north section,9,,2022-W15 Leek HVE13-N,harvest from 2022-W15 Leek HVE13-N,true,2022-08-15,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 south section,"5,7",,2021-W32 Leek HVE13-S,harvest from 2021-W32 Leek HVE13-S,true,2022-08-15,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"13,5",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-08-15,,,,plantings,weight,Kg
