species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"12,5",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-10-24,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 15 north section,"1,7",,2022-W32 Swiss chard HVE15-N,harvest from 2022-W32 Swiss chard HVE15-N,true,2022-10-24,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,1,,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-10-24,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 1 south section,"8,7",,2022-W29 Celery HVE01-S,harvest from 2022-W29 Celery HVE01-S,true,2022-10-24,,,,plantings,weight,Kg
Lettuce,Summer Green House (SGH) - bed 4 north section,2,,2022-W27 Lettuce SGH4-N,harvest from 2022-W27 Lettuce SGH4-N,true,2022-10-24,,,,plantings,weight,Kg
Lettuce,Summer Green House (SGH) - bed 4 south section,"5,7",,2021-W34 Lettuce SGH4-S,harvest from 2021-W34 Lettuce SGH4-S,true,2022-10-24,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 3,"15,2",,2022-W28 Leek HVE03,harvest from 2022-W28 Leek HVE03,true,2022-10-24,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 22 south section,"1,4",,2022-W38 Dill HVE22-S,harvest from 2022-W38 Dill HVE22-S,true,2022-10-24,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 10,"19,6",,2022-W30 Potato HVE10,harvest from 2022-W30 Potato HVE10,true,2022-10-24,,,,plantings,weight,Kg
Aubergine,HortasDoVale-East (HDVE) - bed 1 north section,"9,6",,2022-W29 Aubergine HVE01-N,harvest from 2022-W29 Aubergine HVE01-N,true,2022-10-24,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,4,,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-10-24,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 5,"3,5",,2022-W19 Aubergine HVW05,harvest from 2022-W19 Aubergine HVW05,true,2022-10-24,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 11,"10,6",,2021-W42 Beetroot HVE11-N,harvest from 2021-W42 Beetroot HVE11-N,true,2022-10-24,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 16 north section,"2,88",,2022-W30 Spring onion HVE16-N,harvest from 2022-W30 Spring onion HVE16-N,true,2022-10-24,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,2",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-10-24,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"1,8",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-10-24,,,,plantings,weight,Kg
Portuguese Cabbage,HortasDoVale-East (HDVE) - bed 9 south section,"4,8",,2022-W34 Portuguese cabbage HVE09-S,harvest from 2022-W34 Portuguese cabbage HVE09-S,true,2022-10-24,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 11,"3,2",,2022-W33 Green cabbage HVE11-N,harvest from 2022-W33 Green cabbage HVE11-N,true,2022-10-24,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 11,"4,1",,2022-W33 Kolrabi HVE11,harvest from 2022-W33 Kolrabi HVE11,true,2022-10-24,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 18 north section,"3,8",,2022-W37 Kolrabi HVE18-N,harvest from 2022-W37 Kolrabi HVE18-N,true,2022-10-24,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 14 south section,"6,2",,2022-W08 Dinosaur kale HVE14-S,harvest from 2022-W08 Dinosaur kale HVE14-S,true,2022-10-24,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 15 south section,"6,6",,2022-W32 Dinosaur kale HVE15-S,harvest from 2022-W32 Dinosaur kale HVE15-S,true,2022-10-24,,,,plantings,weight,Kg
Chinese cabbage,Summer Green House (SGH) - bed 2 north section,"4,9",,2022-W34 Chinese cabbage SGH2-N,harvest from 2022-W34 Chinese cabbage SGH2-N,true,2022-10-24,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 26 south section,"6,7",,2022-W39 Chinese cabbage HVE26-S,harvest from 2022-W39 Chinese cabbage HVE26-S,true,2022-10-24,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 18 south section,"2,37",,2022-W37 Zucchini HVE18-S,harvest from 2022-W37 Zucchini HVE18-S,true,2022-10-24,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 8 south section,"3,41",,2022-W33 Zucchini HVE08-S,harvest from 2022-W33 Zucchini HVE08-S,true,2022-10-24,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 south section,"0,6",,2022-W23 Zucchini HVW11-S,harvest from 2022-W23 Zucchini HVW11-S,true,2022-10-24,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 20 south section,"0,77",,2022-W30 Zucchini HVW20-S,harvest from 2022-W30 Zucchini HVW20-S,true,2022-10-24,,,,plantings,weight,Kg
Fennel,HortasDoVale-East (HDVE) - bed 2 north section,"1,1",,2022-W30 Fennel bulb HVE02-N,harvest from 2022-W30 Fennel bulb HVE02-N,true,2022-10-24,,,,plantings,weight,Kg
Fennel,HortasDoVale-East (HDVE) - bed 2 north section,"7,1",,2022-W30 Fennel bulb HVE02-N,harvest from 2022-W30 Fennel bulb HVE02-N,true,2022-10-24,,,,plantings,weight,Kg
