Name,Description,Crop/variety,Season,length FB,Nr plants FB,Area/Location
W&N Gingko trees,two small seedling transplants,Ginkgo biloba,Spring 2020,1,2,Clotilde's Garden
W&N Loquat trees,two Clotilde propagated from seed,Eriobotrya japonica,Spring 2022,1,2,W&NhomeGarden
