species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,"7,8",,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,true,2022-05-16,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,7,,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-05-16,,,,plantings,weight,Kg
Land cress,HortasDoVale-East (HDVE) - bed 24 north section,1,,2022-W01 Land cress HVE24-N,harvest from 2022-W01 Land cress HVE24-N,true,2022-05-16,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 23 north section,"6,6",,2021-W52 Celery HVE23-N,harvest from 2021-W52 Celery HVE23-N,true,2022-05-16,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 4 south section,"5,1",,2021-W50 Celery SGH4-S,harvest from 2021-W50 Celery SGH4-S,true,2022-05-16,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 16 north section,9,,2021-W47 Lambs lettuce HVE16-N,harvest from 2021-W47 Lambs lettuce HVE16-N,true,2022-05-16,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 14,"7,4",,2022-W11 Lettuce HVW14,harvest from 2022-W11 Lettuce HVW14,true,2022-05-16,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 4,"8,7",,2021-W37 Lettuce HVW04-N,harvest from 2021-W37 Lettuce HVW04-N,true,2022-05-16,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 7 south section,"16,1",,2022-W12 Lettuce HVW07-S,harvest from 2022-W12 Lettuce HVW07-S,true,2022-05-16,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 18 south section,15,,2021-W46 Leek HVE18-S,harvest from 2021-W46 Leek HVE18-S,true,2022-05-16,,,,plantings,weight,Kg
Garlic,HortasDoVale-East (HDVE) - bed 15 south section,"0,9",,2021-W50 Garlic HVE15-S,harvest from 2021-W50 Garlic HVE15-S,true,2022-05-16,,,,plantings,weight,Kg
Garlic,HortasDoVale-East (HDVE) - bed 18 north section,"0,96",,2021-W46 Garlic HVE18-N,harvest from 2021-W46 Garlic HVE18-N,true,2022-05-16,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 24 south section,"0,39",,2022-W14 Dill HVE24-S,harvest from 2022-W14 Dill HVE24-S,true,2022-05-16,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 19,71,,2022-W04 Potato HVE19,harvest from 2022-W04 Potato HVE19,true,2022-05-16,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 21 north section,1,,2022-W05 Beetroot HVE21-N,harvest from 2022-W05 Beetroot HVE21-N,true,2022-05-16,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 14,"12,1",,2022-W09 Beetroot HVW14,harvest from 2022-W09 Beetroot HVW14,true,2022-05-16,,,,plantings,weight,Kg
Beetroot,Winter Green House - bed 3,"3,9",,2022-W13 Beetroot WGH3,harvest from 2022-W13 Beetroot WGH3,true,2022-05-16,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 4,"2,85",,2022-W08 Broccoli HVW04,harvest from 2022-W08 Broccoli HVW04,true,2022-05-16,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 2,"1,85",,2022-W02 Onion HVE02,harvest from 2022-W02 Onion HVE02,true,2022-05-16,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 8 north section,"6,4",,2022-W09 Spring onion HVE08-N,harvest from 2022-W09 Spring onion HVE08-N,true,2022-05-16,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,15",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-05-16,,,,plantings,weight,Kg
