Name,Description,Crop/variety,Season,length FB,Nr plants FB,Area/Location
Mizuna verde,"HDV-E, HDV-W, SGH, WGH, NORA",Mizuna green,,,,19U
Morango,"HDV-E, HDV-W, SGH, WGH, NORA",Strawberry,,,,19U
Nabiças,"HDV-E, HDV-W, SGH, WGH, NORA",Turnip greens,,,,19U
Nabo,"HDV-E, HDV-W, SGH, WGH, NORA",Turnip,,,,19U
Nabo Greleiro,"HDV-E, HDV-W, SGH, WGH, NORA",Rapini,,,,19U
Nêsperas,"HDV-E, HDV-W, SGH, WGH, NORA",Loquats,,,,19U
Pack choi,"HDV-E, HDV-W, SGH, WGH, NORA",Pack choi,,,,19U
Pastinaca,"HDV-E, HDV-W, SGH, WGH, NORA",Parsnip,,,,19U
Pepino,"HDV-E, HDV-W, SGH, WGH, NORA",Cucumber,,,,19U
Pimentos,"HDV-E, HDV-W, SGH, WGH, NORA",Peppers,,,,19U
Pimentos Padron,"HDV-E, HDV-W, SGH, WGH, NORA",Padron peppers,,,,19U
Pimentos verdes,"HDV-E, HDV-W, SGH, WGH, NORA",Green peppers,,,,19U
Rabanetes,"HDV-E, HDV-W, SGH, WGH, NORA",Radishes,,,,19U
Rábano,"HDV-E, HDV-W, SGH, WGH, NORA",Horseradish,,,,19U
Rúcula,"HDV-E, HDV-W, SGH, WGH, NORA",Rucula,,,,19U
Salada Mix,"HDV-E, HDV-W, SGH, WGH, NORA",Salad mix,,,,19U
Salanova,"HDV-E, HDV-W, SGH, WGH, NORA",Salanova,,,,19U
Salsa,"HDV-E, HDV-W, SGH, WGH, NORA",Parsley,,,,19U
Tangerina,"HDV-E, HDV-W, SGH, WGH, NORA",Tangerine,,,,19U
Tomate Chucha,"HDV-E, HDV-W, SGH, WGH, NORA",Tomato roma,,,,19U
Tomates pequenos,"HDV-E, HDV-W, SGH, WGH, NORA",Tomatoes small,,,,19U
Tomates variados,"HDV-E, HDV-W, SGH, WGH, NORA",Tomatoes varied,,,,19U
