species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Hokkaido squash,HortasDoVale-East (HDVE) - bed 25,"16,535",,2022-W12 Hokkaido squash HVE25-N,harvest from 2022-W12 Hokkaido squash HVE25-N,true,2022-06-20,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"15,6",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-06-20,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 1 north section,"1,8",,2022-W10 Celery SGH1-N,harvest from 2022-W10 Celery SGH1-N,true,2022-06-20,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 5,11,,2022-W20 Lettuce HVW05,harvest from 2022-W20 Lettuce HVW05,true,2022-06-20,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 8,"14,7",,2022-W14 Lettuce HVW08,harvest from 2022-W14 Lettuce HVW08,true,2022-06-20,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 20,40,,2022-W04 Potato HVE20,harvest from 2022-W04 Potato HVE20,true,2022-06-20,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"2,5",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-06-20,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 5,10,,2022-W19 Aubergine HVW05,harvest from 2022-W19 Aubergine HVW05,true,2022-06-20,,,,plantings,weight,Kg
Aubergine,Winter Green House - bed 7,"0,8",,2022-W04 Aubergine WGH7,harvest from 2022-W04 Aubergine WGH7,true,2022-06-20,,,,plantings,weight,Kg
Aubergine,Winter Green House - bed 8,"0,5",,2022-W04 Aubergine WGH8,harvest from 2022-W04 Aubergine WGH8,true,2022-06-20,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 2 north section,"11,4",,2022-W18 Beetroot HVW02-N,harvest from 2022-W18 Beetroot HVW02-N,true,2022-06-20,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 4,"1,35",,2022-W08 Broccoli HVW04,harvest from 2022-W08 Broccoli HVW04,true,2022-06-20,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 7 south section,"1,3",,2022-W14 Broccoli HVW07-S,harvest from 2022-W14 Broccoli HVW07-S,true,2022-06-20,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 11,"1,2",,2022-W14 Onion HVE11,harvest from 2022-W14 Onion HVE11,true,2022-06-20,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 21 south section,"1,44",,2022-W19 Onion HVE21-S,harvest from 2022-W19 Onion HVE21-S,true,2022-06-20,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 13 south section,"2,56",,2022-W19 Spring onion HVE13-S,harvest from 2022-W19 Spring onion HVE13-S,true,2022-06-20,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,1,,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-06-20,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 24 north section,"1,425",,2022-W22 Coriander HVE24-N,harvest from 2022-W22 Coriander HVE24-N,true,2022-06-20,,,,plantings,weight,Kg
