species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut squash,HortasDoVale-West (HDVW) - bed 19,9,,2022-W30 Butternut squash HVW19,harvest from 2022-W30 Butternut squash HVW19,true,2022-09-26,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"9,2",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-09-26,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 13 north section,"3,6",,2022-W22 Celery HVW13-N,harvest from 2022-W22 Celery HVW13-N,true,2022-09-26,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 5,"3,2",,2022-W20 Celery HVW05,harvest from 2022-W20 Celery HVW05,true,2022-09-26,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 north section,10,,2022-W15 Leek HVE13-N,harvest from 2022-W15 Leek HVE13-N,true,2022-09-26,,,,plantings,weight,Kg
Aubergine,HortasDoVale-East (HDVE) - bed 1 north section,"3,4",,2022-W29 Aubergine HVE01-N,harvest from 2022-W29 Aubergine HVE01-N,true,2022-09-26,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"10,7",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-09-26,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 11,"5,2",,2021-W42 Beetroot HVE11-N,harvest from 2021-W42 Beetroot HVE11-N,true,2022-09-26,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 3 south section,"3,06",,2022-W28 Spring onion HVE03-S,harvest from 2022-W28 Spring onion HVE03-S,true,2022-09-26,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 24 south section,"0,42",,2022-W32 Coriander HVE24-S,harvest from 2022-W32 Coriander HVE24-S,true,2022-09-26,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"2,2",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-09-26,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 11,9,,2022-W33 Kolrabi HVE11,harvest from 2022-W33 Kolrabi HVE11,true,2022-09-26,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 14 south section,"6,4",,2022-W08 Dinosaur kale HVE14-S,harvest from 2022-W08 Dinosaur kale HVE14-S,true,2022-09-26,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 8 south section,"3,2",,2022-W33 Zucchini HVE08-S,harvest from 2022-W33 Zucchini HVE08-S,true,2022-09-26,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 20 south section,7,,2022-W30 Zucchini HVW20-S,harvest from 2022-W30 Zucchini HVW20-S,true,2022-09-26,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 23 north section,"1,4",,2021-W48 N.Z. Spinaches HVE23-N,harvest from 2021-W48 N.Z. Spinaches HVE23-N,true,2022-09-26,,,,plantings,weight,Kg
Fennel,HortasDoVale-East (HDVE) - bed 8 north section,"0,66",,2022-W11 Fennel bulb HVE08-N,harvest from 2022-W11 Fennel bulb HVE08-N,true,2022-09-26,,,,plantings,weight,Kg
Hot peppers,HortasDoVale-West (HDVW) - bed 20 south section,"0,25",,2021-W24 Hot peppers HVW20-S,harvest from 2021-W24 Hot peppers HVW20-S,true,2022-09-26,,,,plantings,weight,Kg
Basil,HortasDoVale-West (HDVW) - bed 15 north section,"2,46",,2022-W21 Basil HVW15-N,harvest from 2022-W21 Basil HVW15-N,true,2022-09-26,,,,plantings,weight,Kg
Mizuna purple,HortasDoVale-East (HDVE) - bed 24 south section,"1,1",,2022-W32 Mizuna purple HVE24-S,harvest from 2022-W32 Mizuna purple HVE24-S,true,2022-09-26,,,,plantings,weight,Kg
Mizuna green,HortasDoVale-East (HDVE) - bed 24 south section,"1,4",,2022-W32 Mizuna green HVE24-S,harvest from 2022-W32 Mizuna green HVE24-S,true,2022-09-26,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,"2,29",,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-09-26,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,"3,69",,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-09-26,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,"2,08",,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-09-26,,,,plantings,weight,Kg
Cucumber,HortasDoVale-East (HDVE) - bed 8 south section,"0,45",,2022-W33 Cucumber HVE08-S,harvest from 2022-W33 Cucumber HVE08-S,true,2022-09-26,,,,plantings,weight,Kg
Cucumber,HortasDoVale-West (HDVW) - bed 20 south section,"0,8",,2022-W30 Cucumber HVW20-S,harvest from 2022-W30 Cucumber HVW20-S,true,2022-09-26,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 12,"2,25",,2022-W17 Peppers HVW12,harvest from 2022-W17 Peppers HVW12,true,2022-09-26,,,,plantings,weight,Kg
Padron peppers,HortasDoVale-West (HDVW) - bed 12 south section,"0,54",,2022-W17 Padron peppers HVW12-S,harvest from 2022-W17 Padron peppers HVW12-S,true,2022-09-26,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 10,2,,2022-W17 Peppers HVW10,harvest from 2022-W17 Peppers HVW10,true,2022-09-26,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 12,"0,8",,2022-W17 Peppers HVW12,harvest from 2022-W17 Peppers HVW12,true,2022-09-26,,,,plantings,weight,Kg
