species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"8,5",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-09-12,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 15 north section,7,,2022-W32 Swiss chard HVE15-N,harvest from 2022-W32 Swiss chard HVE15-N,true,2022-09-12,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 4 north section,6,,2022-W27 Celery SGH4-N,harvest from 2022-W27 Celery SGH4-N,true,2022-09-12,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 3,4,,2022-W23 Celery HVW03,harvest from 2022-W23 Celery HVW03,true,2022-09-12,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 11,"14,7",,2021-W43 Lettuce HVE11-N,harvest from 2021-W43 Lettuce HVE11-N,true,2022-09-12,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 north section,"11,5",,2022-W15 Leek HVE13-N,harvest from 2022-W15 Leek HVE13-N,true,2022-09-12,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 south section,16,,2021-W32 Leek HVE13-S,harvest from 2021-W32 Leek HVE13-S,true,2022-09-12,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"11,5",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-09-12,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 5,"8,3",,2022-W19 Aubergine HVW05,harvest from 2022-W19 Aubergine HVW05,true,2022-09-12,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 1 south section,"3,2",,2022-W29 Beetroot HVE01-S,harvest from 2022-W29 Beetroot HVE01-S,true,2022-09-12,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 2 north section,"6,8",,2022-W29 Beetroot HVE02-N,harvest from 2022-W29 Beetroot HVE02-N,true,2022-09-12,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 3 south section,"2,66",,2022-W28 Spring onion HVE03-S,harvest from 2022-W28 Spring onion HVE03-S,true,2022-09-12,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"0,59",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-09-12,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 24 south section,"0,3",,2022-W32 Coriander HVE24-S,harvest from 2022-W32 Coriander HVE24-S,true,2022-09-12,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 14 south section,"3,9",,2022-W08 Dinosaur kale HVE14-S,harvest from 2022-W08 Dinosaur kale HVE14-S,true,2022-09-12,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 15 south section,"5,3",,2022-W32 Dinosaur kale HVE15-S,harvest from 2022-W32 Dinosaur kale HVE15-S,true,2022-09-12,,,,plantings,weight,Kg
