species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Basil,Winter Green House - bed 4,"0,6",,2022-W11 Basil WGH4,harvest from 2022-W11 Basil WGH4,true,2022-05-30,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,"18,75",,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-05-30,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,"22,3",,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-05-30,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,"26,5",,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-05-30,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 24,4,,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,true,2022-05-30,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,"5,5",,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,true,2022-05-30,,,,plantings,weight,Kg
Turnip,HortasDoVale-East (HDVE) - bed 10 north section,"13,2",,2022-W16 Turnip HVE10-N,harvest from 2022-W16 Turnip HVE10-N,true,2022-05-30,,,,plantings,weight,Kg
Pack choi,HortasDoVale-East (HDVE) - bed 22 south section,"7,7",,2022-W19 Pack choi HVE22-S,harvest from 2022-W19 Pack choi HVE22-S,true,2022-05-30,,,,plantings,weight,Kg
Cucumber,Winter Green House - bed 1,"0,6",,2022-W09 Cucumber WGH1,harvest from 2022-W09 Cucumber WGH1,true,2022-05-30,,,,plantings,weight,Kg
Cucumber,Winter Green House - bed 5,"11,5",,2022-W13 Cucumber WGH5,harvest from 2022-W13 Cucumber WGH5,true,2022-05-30,,,,plantings,weight,Kg
Radishes,Summer Green House (SGH) - bed 3 north section,1,,2022-W18 Radishes SGH3-N,harvest from 2022-W18 Radishes SGH3-N,true,2022-05-30,,,,plantings,weight,Kg
Horseradish,HortasDoVale-East (HDVE) - bed 18 north section,"13,61",,2022-W14 Horseradish HVE18-N,harvest from 2022-W14 Horseradish HVE18-N,true,2022-05-30,,,,plantings,weight,Kg
Rucula,HortasDoVale-East (HDVE) - bed 24 south section,4,,2022-W19 Rucula HVE24-S,harvest from 2022-W19 Rucula HVE24-S,true,2022-05-30,,,,plantings,weight,Kg
Salanova,Winter Green House - bed 3,"4,5",,2022-W13 Salanova WGH3,harvest from 2022-W13 Salanova WGH3,true,2022-05-30,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 2 north section,"0,5",,2021-W08 Parsley SGH2-N,harvest from 2021-W08 Parsley SGH2-N,true,2022-05-30,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 4 north section,"0,15",,2021-W29 Parsley SGH4-N,harvest from 2021-W29 Parsley SGH4-N,true,2022-05-30,,,,plantings,weight,Kg
Tomato roma,HortasDoVale-West (HDVW) - bed 6,"0,3",,2022-W10 Tomato roma HVW06,harvest from 2022-W10 Tomato roma HVW06,true,2022-05-30,,,,plantings,weight,Kg
Tomatoes small,Winter Green House - bed 6,"0,1",,2021-W14 Tomatoes small WGH6,harvest from 2021-W14 Tomatoes small WGH6,true,2022-05-30,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 4,17,,2022-W09 Tomatoes varied WGH4,harvest from 2022-W09 Tomatoes varied WGH4,true,2022-05-30,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 6,"0,7",,2021-W14 Tomatoes varied WGH6,harvest from 2021-W14 Tomatoes varied WGH6,true,2022-05-30,,,,plantings,weight,Kg
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
