species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Spinaches,HortasDoVale-East (HDVE) - bed 8 south section,"7,11",,2022-W09 Spinaches HVE08-S,harvest from 2022-W09 Spinaches HVE08-S,true,2022-04-18,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 14 north section,7,,2021-W43 Broad beans HVE14-N,harvest from 2021-W43 Broad beans HVE14-N,true,2022-04-18,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 17,"36,1",,2021-W48 Broad beans HVE17,harvest from 2021-W48 Broad beans HVE17,true,2022-04-18,,,,plantings,weight,Kg
Basil,Winter Green House - bed 4,"0,36",,2022-W11 Basil WGH4,harvest from 2022-W11 Basil WGH4,true,2022-04-18,,,,plantings,weight,Kg
Mizuna purple,Summer Green House (SGH) - bed 2 south section,"0,2",,2022-W11 Mizuna purple SGH2-S,harvest from 2022-W11 Mizuna purple SGH2-S,true,2022-04-18,,,,plantings,weight,Kg
Mizuna green,HortasDoVale-East (HDVE) - bed 21 south section,1,,2022-W05 Mizuna green HVE21-S,harvest from 2022-W05 Mizuna green HVE21-S,true,2022-04-18,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,"2,7",,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-04-18,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,"2,8",,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-04-18,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,"3,7",,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-04-18,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 24,"3,9",,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,true,2022-04-18,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,5,,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,true,2022-04-18,,,,plantings,weight,Kg
Pack choi,HortasDoVale-East (HDVE) - bed 24,"3,2",,2022-W14 Pack choi HVE24,harvest from 2022-W14 Pack choi HVE24,true,2022-04-18,,,,plantings,weight,Kg
Radishes,Summer Green House (SGH) - bed 3 south section,"6,4",,2021-W34 Radishes SGH3-S,harvest from 2021-W34 Radishes SGH3-S,true,2022-04-18,,,,plantings,weight,Kg
Horseradish,HortasDoVale-East (HDVE) - bed 22 south section,"22,2",,2022-W06 Horseradish HVE22-S,harvest from 2022-W06 Horseradish HVE22-S,true,2022-04-18,,,,plantings,weight,Kg
Rucula,HortasDoVale-East (HDVE) - bed 21 south section,"0,8",,2022-W07 Rucula HVE21-S,harvest from 2022-W07 Rucula HVE21-S,true,2022-04-18,,,,plantings,weight,Kg
Rucula,Summer Green House (SGH) - bed 2 south section,"0,1",,2022-W11 Rucula SGH2-S,harvest from 2022-W11 Rucula SGH2-S,true,2022-04-18,,,,plantings,weight,Kg
Parsley,HortasDoVale-East (HDVE) - bed 24 north section,"1,8",,2022-W01 Parsley HVE24-N,harvest from 2022-W01 Parsley HVE24-N,true,2022-04-18,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 4 north section,1,,2021-W29 Parsley SGH4-N,harvest from 2021-W29 Parsley SGH4-N,true,2022-04-18,,,,plantings,weight,Kg
