species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut squash,HortasDoVale-West (HDVW) - bed 19,"3,1",,2022-W30 Butternut squash HVW19,harvest from 2022-W30 Butternut squash HVW19,true,2022-10-10,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale-West (HDVW) - bed 19,"4,8",,2022-W30 Hokkaido squash HVW19,harvest from 2022-W30 Hokkaido squash HVW19,true,2022-10-10,,,,plantings,weight,Kg
Muscade Pumpkin,HortasDoVale-East (HDVE) - bed 12,"98,16",,2022-W13 Muscade Pumpkin HVE12,harvest from 2022-W13 Muscade Pumpkin HVE12,true,2022-10-10,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"2,5",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-10-10,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,7,,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-10-10,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 4 north section,"8,9",,2022-W27 Celery SGH4-N,harvest from 2022-W27 Celery SGH4-N,true,2022-10-10,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 13 north section,"0,8",,2022-W22 Celery HVW13-N,harvest from 2022-W22 Celery HVW13-N,true,2022-10-10,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 18 north section,"8,2",,2022-W37 Lettuce HVE18-N,harvest from 2022-W37 Lettuce HVE18-N,true,2022-10-10,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 3,"11,1",,2022-W28 Leek HVE03,harvest from 2022-W28 Leek HVE03,true,2022-10-10,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 10,22,,2022-W30 Potato HVE10,harvest from 2022-W30 Potato HVE10,true,2022-10-10,,,,plantings,weight,Kg
Aubergine,HortasDoVale-East (HDVE) - bed 1 north section,"10,5",,2022-W29 Aubergine HVE01-N,harvest from 2022-W29 Aubergine HVE01-N,true,2022-10-10,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"1,3",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-10-10,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 5,"4,1",,2022-W19 Aubergine HVW05,harvest from 2022-W19 Aubergine HVW05,true,2022-10-10,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 11,"10,6",,2021-W42 Beetroot HVE11-N,harvest from 2021-W42 Beetroot HVE11-N,true,2022-10-10,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 16 north section,"7,54",,2022-W30 Spring onion HVE16-N,harvest from 2022-W30 Spring onion HVE16-N,true,2022-10-10,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"0,95",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-10-10,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"2,1",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-10-10,,,,plantings,weight,Kg
