Name,Description,Crop/variety,Season,length FB,Nr plants FB,Area/Location
2022-W01 Acerola Cherry m9 DFG,D; Ed; ShT; DT,Malphigia emerginata,Winter 2022-0,1,1,Dryland ForestGarden (DFG)
2022-W01 Agave m12 DFG,E; Fb; Fr; DT,Agave americana,Winter 2022-0,1,1,Dryland ForestGarden (DFG)
2022-W01 Agave m13 DFG,E; Fb; Fr; DT,Agave americana,Winter 2022-0,1,1,Dryland ForestGarden (DFG)
