species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"10,5",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-10-17,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 15 north section,"6,5",,2022-W32 Swiss chard HVE15-N,harvest from 2022-W32 Swiss chard HVE15-N,true,2022-10-17,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,"2,1",,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-10-17,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 1 south section,8,,2022-W29 Celery HVE01-S,harvest from 2022-W29 Celery HVE01-S,true,2022-10-17,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 18 north section,"13,7",,2022-W37 Lettuce HVE18-N,harvest from 2022-W37 Lettuce HVE18-N,true,2022-10-17,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 3,"17,6",,2022-W28 Leek HVE03,harvest from 2022-W28 Leek HVE03,true,2022-10-17,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 22 south section,"0,5",,2022-W38 Dill HVE22-S,harvest from 2022-W38 Dill HVE22-S,true,2022-10-17,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 10,"22,8",,2022-W30 Potato HVE10,harvest from 2022-W30 Potato HVE10,true,2022-10-17,,,,plantings,weight,Kg
Aubergine,HortasDoVale-East (HDVE) - bed 1 north section,"19,9",,2022-W29 Aubergine HVE01-N,harvest from 2022-W29 Aubergine HVE01-N,true,2022-10-17,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 11,"11,1",,2021-W42 Beetroot HVE11-N,harvest from 2021-W42 Beetroot HVE11-N,true,2022-10-17,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 16 north section,"7,56",,2022-W30 Spring onion HVE16-N,harvest from 2022-W30 Spring onion HVE16-N,true,2022-10-17,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,15",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-10-17,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 24 south section,"0,14",,2022-W32 Coriander HVE24-S,harvest from 2022-W32 Coriander HVE24-S,true,2022-10-17,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"1,8",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-10-17,,,,plantings,weight,Kg
Portuguese Cabbage,HortasDoVale-East (HDVE) - bed 9 south section,"7,3",,2022-W34 Portuguese cabbage HVE09-S,harvest from 2022-W34 Portuguese cabbage HVE09-S,true,2022-10-17,,,,plantings,weight,Kg
