species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 13 north section,,,2021-W27 Swiss chard HVW13-N,harvest from 2021-W27 Swiss chard HVW13-N,true,2022-03-21,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 15 south section,,,2021-W36 Swiss chard HVW15-S,harvest from 2021-W36 Swiss chard HVW15-S,true,2022-03-21,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 4 north section,,,2020-0 Swiss chard Autumn HVW04-N,harvest from 2020-0 Swiss chard Autumn HVW04-N,true,2022-03-21,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 3 north section,,,2021-W27 Celery SGH3-N,harvest from 2021-W27 Celery SGH3-N,true,2022-03-21,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 15 north section,,,2021-W31 Celery HVW15-N,harvest from 2021-W31 Celery HVW15-N,true,2022-03-21,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 13 south section,,,2022-W04 Lettuce HVE13-S,harvest from 2022-W04 Lettuce HVE13-S,true,2022-03-21,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 23 south section,,,2022-W01 Lettuce HVE23-S,harvest from 2022-W01 Lettuce HVE23-S,true,2022-03-21,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 24 south section,,,2022-W01 Lettuce HVE24-S,harvest from 2022-W01 Lettuce HVE24-S,true,2022-03-21,,,,plantings,weight,Kg
Lettuce,Summer Green House (SGH) - bed 3 north section,,,2022-W02 Lettuce SGH3-N,harvest from 2022-W02 Lettuce SGH3-N,true,2022-03-21,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 9 south section,,,2021-W39 Leek HVE09-S,harvest from 2021-W39 Leek HVE09-S,true,2022-03-21,,,,plantings,weight,Kg
Garlic,HortasDoVale-East (HDVE) - bed 18 north section,,,2021-W46 Garlic HVE18-N,harvest from 2021-W46 Garlic HVE18-N,true,2022-03-21,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 24 north section,,,2022-W01 Dill HVE24-N,harvest from 2022-W01 Dill HVE24-N,true,2022-03-21,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 11,,,2021-W42 Beetroot HVE11-N,harvest from 2021-W42 Beetroot HVE11-N,true,2022-03-21,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 16,,,2021-W39 Broccoli HVW16-N,harvest from 2021-W39 Broccoli HVW16-N,true,2022-03-21,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 21,,,2021-W30 Broccoli HVW21,harvest from 2021-W30 Broccoli HVW21,true,2022-03-21,,,,plantings,weight,Kg
Lambs lettuce,HortasDoVale-East (HDVE) - bed 21 south section,,,2022-W05 Lambs lettuce HVE21-S,harvest from 2022-W05 Lambs lettuce HVE21-S,true,2022-03-21,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 10,,,2021-W35 Spring onion HVE10,harvest from 2021-W35 Spring onion HVE10,true,2022-03-21,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 23 south section,,,2022-W06 Coriander HVE23-S,harvest from 2022-W06 Coriander HVE23-S,true,2022-03-21,,,,plantings,weight,Kg
Coriander,Summer Green House (SGH) - bed 2 north section,,,2021-W44 Coriander SGH2-N,harvest from 2021-W44 Coriander SGH2-N,true,2022-03-21,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 16 north section,,,2021-W39 Curly kale HVW16-N,harvest from 2021-W39 Curly kale HVW16-N,true,2022-03-21,,,,plantings,weight,Kg
Galega kale,HortasDoVale-West (HDVW) - bed 16 north section,,,2021-W39 Galega kale HVW16-N,harvest from 2021-W39 Galega kale HVW16-N,true,2022-03-21,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 18 north section,,,2021-W43 Green cabbage HVW18-N,harvest from 2021-W43 Green cabbage HVW18-N,true,2022-03-21,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 19,,,2021-W32 Green cabbage HVW19,harvest from 2021-W32 Green cabbage HVW19,true,2022-03-21,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 16 north section,,,2021-W39 Dinosaur kale HVW16-N,harvest from 2021-W39 Dinosaur kale HVW16-N,true,2022-03-21,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-West (HDVW) - bed 9 north section,,,2021-W32 Dinosaur kale HVW09-N,harvest from 2021-W32 Dinosaur kale HVW09-N,true,2022-03-21,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 21 south section,,,2022-W05 Chinese cabbage HVE21-S,harvest from 2022-W05 Chinese cabbage HVE21-S,true,2022-03-21,,,,plantings,weight,Kg
Chinese cabbage,HortasDoVale-East (HDVE) - bed 24 south section,,,2022-W01 Chinese cabbage HVE24-S,harvest from 2022-W01 Chinese cabbage HVE24-S,true,2022-03-21,,,,plantings,weight,Kg
Brussels sprouts,HortasDoVale-West (HDVW) - bed 11 south section,,,2021-W34 Brussels sprouts HVW11-S,harvest from 2021-W34 Brussels sprouts HVW11-S,true,2022-03-21,,,,plantings,weight,Kg
Leef cabbage,HortasDoVale-West (HDVW) - bed 11 south section,,,2021-W34 Leef cabbage HVW11-S,harvest from 2021-W34 Leef cabbage HVW11-S,true,2022-03-21,,,,plantings,weight,Kg
Spinaches,HortasDoVale-East (HDVE) - bed 13 south section,,,2022-W04 Spinaches HVE13-S,harvest from 2022-W04 Spinaches HVE13-S,true,2022-03-21,,,,plantings,weight,Kg
Broad beans,HortasDoVale-East (HDVE) - bed 14 north section,,,2021-W43 Broad beans HVE14-N,harvest from 2021-W43 Broad beans HVE14-N,true,2022-03-21,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 23 north section,,,2021-W36 Fennel bulb HVW23-N,harvest from 2021-W36 Fennel bulb HVW23-N,true,2022-03-21,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 23 north section,,,2021-W36 Fennel bulb HVW23-N,harvest from 2021-W36 Fennel bulb HVW23-N,true,2022-03-21,,,,plantings,weight,Kg
Mizuna green,HortasDoVale-East (HDVE) - bed 21 south section,,,2022-W05 Mizuna green HVE21-S,harvest from 2022-W05 Mizuna green HVE21-S,true,2022-03-21,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,,,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-03-21,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,,,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-03-21,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,,,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-03-21,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 24,,,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,true,2022-03-21,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,,,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,true,2022-03-21,,,,plantings,weight,Kg
Turnip,HortasDoVale-East (HDVE) - bed 13 north section,,,2021-W43 Turnip HVE13-N,harvest from 2021-W43 Turnip HVE13-N,true,2022-03-21,,,,plantings,weight,Kg
Radishes,HortasDoVale-East (HDVE) - bed 22 south section,,,2022-W06 Radishes HVE22-S,harvest from 2022-W06 Radishes HVE22-S,true,2022-03-21,,,,plantings,weight,Kg
