species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-East (HDVE) - bed 15 north section,"29,1",,2022-W32 Swiss chard HVE15-N,harvest from 2022-W32 Swiss chard HVE15-N,true,2022-11-14,,,,plantings,weight,Kg
Land cress,Summer Green House (SGH) - bed 3 north section,"2,5",,2022-W38 Land cress SGH3-N,harvest from 2022-W38 Land cress SGH3-N,true,2022-11-14,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 1 south section,6,,2022-W29 Celery HVE01-S,harvest from 2022-W29 Celery HVE01-S,true,2022-11-14,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 1 north section,"3,9",,2022-W10 Celery SGH1-N,harvest from 2022-W10 Celery SGH1-N,true,2022-11-14,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 17 south section,"9,6",,2022-W40 Lettuce HVE17-S,harvest from 2022-W40 Lettuce HVE17-S,true,2022-11-14,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 18 north section,3,,2022-W37 Lettuce HVE18-N,harvest from 2022-W37 Lettuce HVE18-N,true,2022-11-14,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 3,"28,5",,2022-W28 Leek HVE03,harvest from 2022-W28 Leek HVE03,true,2022-11-14,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 22 south section,"2,28",,2022-W38 Dill HVE22-S,harvest from 2022-W38 Dill HVE22-S,true,2022-11-14,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 10,"10,2",,2022-W30 Potato HVE10,harvest from 2022-W30 Potato HVE10,true,2022-11-14,,,,plantings,weight,Kg
Aubergine,HortasDoVale-East (HDVE) - bed 1 north section,11,,2022-W29 Aubergine HVE01-N,harvest from 2022-W29 Aubergine HVE01-N,true,2022-11-14,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"1,9",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-11-14,,,,plantings,weight,Kg
