species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,"5,4",,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-06-06,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 1 north section,"7,6",,2022-W10 Celery SGH1-N,harvest from 2022-W10 Celery SGH1-N,true,2022-06-06,,,,plantings,weight,Kg
Lettuce,Summer Green House (SGH) - bed 3 south section,"12,7",,2022-W19 Lettuce SGH3-S,harvest from 2022-W19 Lettuce SGH3-S,true,2022-06-06,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 2 south section,8,,2022-W18 Lettuce HVW02-S,harvest from 2022-W18 Lettuce HVW02-S,true,2022-06-06,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 8,"9,3",,2022-W14 Lettuce HVW08,harvest from 2022-W14 Lettuce HVW08,true,2022-06-06,,,,plantings,weight,Kg
Aubergine,Winter Green House - bed 7,"1,4",,2022-W04 Aubergine WGH7,harvest from 2022-W04 Aubergine WGH7,true,2022-06-06,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 14,"4,2",,2022-W09 Beetroot HVW14,harvest from 2022-W09 Beetroot HVW14,true,2022-06-06,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 7 south section,"9,5",,2022-W12 Beetroot HVW07-S,harvest from 2022-W12 Beetroot HVW07-S,true,2022-06-06,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 4,"3,3",,2022-W08 Broccoli HVW04,harvest from 2022-W08 Broccoli HVW04,true,2022-06-06,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 7 south section,1,,2022-W14 Broccoli HVW07-S,harvest from 2022-W14 Broccoli HVW07-S,true,2022-06-06,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 2,"121,6",,2022-W02 Onion HVE02,harvest from 2022-W02 Onion HVE02,true,2022-06-06,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 8 north section,5,,2022-W09 Spring onion HVE08-N,harvest from 2022-W09 Spring onion HVE08-N,true,2022-06-06,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,3",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-06-06,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"2,5",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-06-06,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 13 south section,"3,85",,2022-W19 Curly kale HVW13-S,harvest from 2022-W19 Curly kale HVW13-S,true,2022-06-06,,,,plantings,weight,Kg
