species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut squash,HortasDoVale-East (HDVE) - bed 25 south section,"4,95",,2022-W13 Butternut squash HVE25-S,harvest from 2022-W13 Butternut squash HVE25-S,true,2022-09-05,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale-East (HDVE) - bed 25,"4,87",,2022-W12 Hokkaido squash HVE25,harvest from 2022-W12 Hokkaido squash HVE25,true,2022-09-05,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale-West (HDVW) - bed 1,"1,19",,2022-W20 Hokkaido squash HVW01,harvest from 2022-W20 Hokkaido squash HVW01,true,2022-09-05,,,,plantings,weight,Kg
Muscade Pumpkin,HortasDoVale-East (HDVE) - bed 17,"9,43",,2021-W16 Muscade Pumpkin HVE17,harvest from 2021-W16 Muscade Pumpkin HVE17,true,2022-09-05,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"6,7",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-09-05,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,"4,9",,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-09-05,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 13 north section,2,,2022-W22 Celery HVW13-N,harvest from 2022-W22 Celery HVW13-N,true,2022-09-05,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 5,"4,8",,2022-W20 Celery HVW05,harvest from 2022-W20 Celery HVW05,true,2022-09-05,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 1 north section,"9,2",,2022-W29 Lettuce HVE01-N,harvest from 2022-W29 Lettuce HVE01-N,true,2022-09-05,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 2 south section,3,,2022-W30 Lettuce HVE02-S,harvest from 2022-W30 Lettuce HVE02-S,true,2022-09-05,,,,plantings,weight,Kg
