species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut squash,HortasDoVale-East (HDVE) - bed 25,"7,23",,2022-W13 Butternut squash HVE25-S,harvest from 2022-W13 Butternut squash HVE25-S,true,2022-07-04,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale-East (HDVE) - bed 25,"9,5",,2022-W12 Hokkaido squash HVE25,harvest from 2022-W12 Hokkaido squash HVE25,true,2022-07-04,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"13,8",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-07-04,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 2 south section,"3,9",,2022-W18 Celery HVW02-S,harvest from 2022-W18 Celery HVW02-S,true,2022-07-04,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 24 north section,"10,7",,2022-W22 Lettuce HVE24-N,harvest from 2022-W22 Lettuce HVE24-N,true,2022-07-04,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 3,"182,6",,2022-W13 Potato HVE03,harvest from 2022-W13 Potato HVE03,true,2022-07-04,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"2,4",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-07-04,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 5,"6,8",,2022-W19 Aubergine HVW05,harvest from 2022-W19 Aubergine HVW05,true,2022-07-04,,,,plantings,weight,Kg
Aubergine,Winter Green House - bed 7,"0,4",,2022-W04 Aubergine WGH7,harvest from 2022-W04 Aubergine WGH7,true,2022-07-04,,,,plantings,weight,Kg
Aubergine,Winter Green House - bed 8,"0,1",,2022-W04 Aubergine WGH8,harvest from 2022-W04 Aubergine WGH8,true,2022-07-04,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 9 north section,19,,2022-W20 Beetroot HVE09-N,harvest from 2022-W20 Beetroot HVE09-N,true,2022-07-04,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 14,2,,2022-W09 Beetroot HVW14,harvest from 2022-W09 Beetroot HVW14,true,2022-07-04,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 4,"0,7",,2022-W08 Broccoli HVW04,harvest from 2022-W08 Broccoli HVW04,true,2022-07-04,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 7 south section,"0,7",,2022-W14 Broccoli HVW07-S,harvest from 2022-W14 Broccoli HVW07-S,true,2022-07-04,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 11,"47,4",,2022-W14 Onion HVE11,harvest from 2022-W14 Onion HVE11,true,2022-07-04,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 2,"53,6",,2022-W02 Onion HVE02,harvest from 2022-W02 Onion HVE02,true,2022-07-04,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 21 south section,"2,4",,2022-W19 Onion HVE21-S,harvest from 2022-W19 Onion HVE21-S,true,2022-07-04,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 13 south section,"5,2",,2022-W19 Spring onion HVE13-S,harvest from 2022-W19 Spring onion HVE13-S,true,2022-07-04,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,2",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-07-04,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 24 north section,"1,875",,2022-W22 Coriander HVE24-N,harvest from 2022-W22 Coriander HVE24-N,true,2022-07-04,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"1,3",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-07-04,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 14 south section,"1,9",,2022-W08 Green cabbage HVW14-S,harvest from 2022-W08 Green cabbage HVW14-S,true,2022-07-04,,,,plantings,weight,Kg
Purple cabbage,HortasDoVale-West (HDVW) - bed 14 north section,"17,7",,2022-W08 Purple cabbage HVW14-N,harvest from 2022-W08 Purple cabbage HVW14-N,true,2022-07-04,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-West (HDVW) - bed 3,"3,6",,2022-W14 Kolrabi HVW03,harvest from 2022-W14 Kolrabi HVW03,true,2022-07-04,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 23 south section,"2,27",,2022-W10 Zucchini HVE23-S,harvest from 2022-W10 Zucchini HVE23-S,true,2022-07-04,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 24 south section,2,,2022-W10 Zucchini HVE24-S,harvest from 2022-W10 Zucchini HVE24-S,true,2022-07-04,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 north section,"6,75",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,true,2022-07-04,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 south section,"5,15",,2022-W23 Zucchini HVW11-S,harvest from 2022-W23 Zucchini HVW11-S,true,2022-07-04,,,,plantings,weight,Kg
Zucchini,Winter Green House - bed 5,"9,57",,2021-W10 Zucchini WGH5,harvest from 2021-W10 Zucchini WGH5,true,2022-07-04,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 2 north section,"1,43",,2022-W18 Fennel bulb HVW02-N,harvest from 2022-W18 Fennel bulb HVW02-N,true,2022-07-04,,,,plantings,weight,Kg
Basil,HortasDoVale-West (HDVW) - bed 15,"1,5",,2022-W21 Basil HVW15-N,harvest from 2022-W21 Basil HVW15-N,true,2022-07-04,,,,plantings,weight,Kg
Basil,HortasDoVale-West (HDVW) - bed 8,"0,7",,2021-W21 Basil HVW08-N,harvest from 2021-W21 Basil HVW08-N,true,2022-07-04,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,"11,1",,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-07-04,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,"12,7",,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-07-04,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,"14,5",,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-07-04,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 24,"1,09",,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,true,2022-07-04,,,,plantings,weight,Kg
Strawberry,HortasDoVale-West (HDVW) - bed 25,"1,54",,2021-W04 Strawberry HVW25,harvest from 2021-W04 Strawberry HVW25,true,2022-07-04,,,,plantings,weight,Kg
Turnip,HortasDoVale-East (HDVE) - bed 10 north section,"14,6",,2022-W16 Turnip HVE10-N,harvest from 2022-W16 Turnip HVE10-N,true,2022-07-04,,,,plantings,weight,Kg
Turnip,HortasDoVale-East (HDVE) - bed 8 south section,"2,9",,2022-W20 Turnip HVE08-S,harvest from 2022-W20 Turnip HVE08-S,true,2022-07-04,,,,plantings,weight,Kg
Pack choi,HortasDoVale-East (HDVE) - bed 23 north section,9,,2022-W22 Pack choi HVE23-N,harvest from 2022-W22 Pack choi HVE23-N,true,2022-07-04,,,,plantings,weight,Kg
Cucumber,HortasDoVale-West (HDVW) - bed 1 south section,"0,8",,2021-W27 Cucumber HVW01-S,harvest from 2021-W27 Cucumber HVW01-S,true,2022-07-04,,,,plantings,weight,Kg
