species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut squash,HortasDoVale+AC0-East (HDVE) +AC0- bed 25 south section,+ACI-9,1+ACI-,,2022+AC0-W13 Butternut squash HVE25+AC0-S,harvest from 2022+AC0-W13 Butternut squash HVE25+AC0-S,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale+AC0-East (HDVE) +AC0- bed 17,+ACI-13,99+ACI-,,2022+AC0-W20 Hokkaido squash HVE17,harvest from 2022+AC0-W20 Hokkaido squash HVE17,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale+AC0-East (HDVE) +AC0- bed 25,+ACI-5,23+ACI-,,2022+AC0-W12 Hokkaido squash HVE25,harvest from 2022+AC0-W12 Hokkaido squash HVE25,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Swiss chard,HortasDoVale+AC0-East (HDVE) +AC0- bed 14 north section,+ACI-14,4+ACI-,,2022+AC0-W20 Swiss chard HVE14+AC0-N,harvest from 2022+AC0-W20 Swiss chard HVE14+AC0-N,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Celery,HortasDoVale+AC0-West (HDVW) +AC0- bed 2 south section,+ACI-0,8+ACI-,,2022+AC0-W18 Celery HVW02+AC0-S,harvest from 2022+AC0-W18 Celery HVW02+AC0-S,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Celery,HortasDoVale+AC0-West (HDVW) +AC0- bed 5,+ACI-5,1+ACI-,,2022+AC0-W20 Celery HVW05,harvest from 2022+AC0-W20 Celery HVW05,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Lettuce,HortasDoVale+AC0-East (HDVE) +AC0- bed 9 north section,+ACI-2,8+ACI-,,2022+AC0-W26 Lettuce HVE09+AC0-N,harvest from 2022+AC0-W26 Lettuce HVE09+AC0-N,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Lettuce,HortasDoVale+AC0-West (HDVW) +AC0- bed 3 south section,+ACI-2,5+ACI-,,2022+AC0-W23 Lettuce HVW03+AC0-S,harvest from 2022+AC0-W23 Lettuce HVW03+AC0-S,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Leek,HortasDoVale+AC0-East (HDVE) +AC0- bed 13 north section,+ACI-11,7+ACI-,,2022+AC0-W15 Leek HVE13+AC0-N,harvest from 2022+AC0-W15 Leek HVE13+AC0-N,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Aubergine,HortasDoVale+AC0-West (HDVW) +AC0- bed 3,5,,2022+AC0-W16 Aubergine HVW03,harvest from 2022+AC0-W16 Aubergine HVW03,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Aubergine,HortasDoVale+AC0-West (HDVW) +AC0- bed 5,+ACI-5,7+ACI-,,2022+AC0-W19 Aubergine HVW05,harvest from 2022+AC0-W19 Aubergine HVW05,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Beetroot,HortasDoVale+AC0-East (HDVE) +AC0- bed 9 north section,+ACI-17,3+ACI-,,2022+AC0-W20 Beetroot HVE09+AC0-N,harvest from 2022+AC0-W20 Beetroot HVE09+AC0-N,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Onion,HortasDoVale+AC0-East (HDVE) +AC0- bed 11,+ACI-203,9+ACI-,,2022+AC0-W14 Onion HVE11,harvest from 2022+AC0-W14 Onion HVE11,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) +AC0- bed 3 north section,+ACI-1,4+ACI-,,2022+AC0-W12 Chives SGH3+AC0-N,harvest from 2022+AC0-W12 Chives SGH3+AC0-N,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Coriander,HortasDoVale+AC0-East (HDVE) +AC0- bed 24 north section,+ACI-0,4+ACI-,,2022+AC0-W22 Coriander HVE24+AC0-N,harvest from 2022+AC0-W22 Coriander HVE24+AC0-N,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Coriander,Summer Green House (SGH) +AC0- bed 2 north section,+ACI-0,15+ACI-,,2021+AC0-W44 Coriander SGH2+AC0-N,harvest from 2021+AC0-W44 Coriander SGH2+AC0-N,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Curly kale,HortasDoVale+AC0-East (HDVE) +AC0- bed 14 south section,+ACI-1,9+ACI-,,2022+AC0-W08 Curly kale HVE14+AC0-S,harvest from 2022+AC0-W08 Curly kale HVE14+AC0-S,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Curly kale,HortasDoVale+AC0-West (HDVW) +AC0- bed 13 south section,+ACI-0,2+ACI-,,2022+AC0-W19 Curly kale HVW13+AC0-S,harvest from 2022+AC0-W19 Curly kale HVW13+AC0-S,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
Green cabbage,HortasDoVale+AC0-West (HDVW) +AC0- bed 14 south section,+ACI-3,3+ACI-,,2022+AC0-W08 Green cabbage HVW14+AC0-S,harvest from 2022+AC0-W08 Green cabbage HVW14+AC0-S,true,2022+AC0-07+AC0-18,,,,plantings,weight,Kg
