species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-East (HDVE) - bed 17 north section,"8,5",,2022-W40 Swiss chard HVE17-N,harvest from 2022-W40 Swiss chard HVE17-N,true,2022-12-05,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,"8,7",,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-12-05,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 22 south section,5,,2022-W38 Celery HVE22-S,harvest from 2022-W38 Celery HVE22-S,true,2022-12-05,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 3 south section,"4,1",,2022-W40 Celery SGH3-S,harvest from 2022-W40 Celery SGH3-S,true,2022-12-05,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 17 south section,"2,4",,2022-W40 Lettuce HVE17-S,harvest from 2022-W40 Lettuce HVE17-S,true,2022-12-05,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 7 north section,"4,9",,2022-W43 Lettuce HVE07-N,harvest from 2022-W43 Lettuce HVE07-N,true,2022-12-05,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 16 north section,"15,7",,2022-W30 Leek HVE16-N,harvest from 2022-W30 Leek HVE16-N,true,2022-12-05,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 13 south section,"1,62",,2022-W41 Dill HVE13-S,harvest from 2022-W41 Dill HVE13-S,true,2022-12-05,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 27,"12,6",,2022-W39 Potato HVE27,harvest from 2022-W39 Potato HVE27,true,2022-12-05,,,,plantings,weight,Kg
Aubergine,HortasDoVale-East (HDVE) - bed 1 north section,1,,2022-W29 Aubergine HVE01-N,harvest from 2022-W29 Aubergine HVE01-N,true,2022-12-05,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,1,,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-12-05,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 5,"1,5",,2022-W19 Aubergine HVW05,harvest from 2022-W19 Aubergine HVW05,true,2022-12-05,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 17 south section,"9,06",,2022-W40 Beetroot HVE17-S,harvest from 2022-W40 Beetroot HVE17-S,true,2022-12-05,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 22 south section,"1,75",,2022-W39 Beetroot HVE22-S,harvest from 2022-W39 Beetroot HVE22-S,true,2022-12-05,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 3,"1,7",,2021-W16 Beetroot HVW03,harvest from 2021-W16 Beetroot HVW03,true,2022-12-05,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 4,4,,2022-W08 Broccoli HVW04,harvest from 2022-W08 Broccoli HVW04,true,2022-12-05,,,,plantings,weight,Kg
Broccoli,HortasDoVale-West (HDVW) - bed 7 south section,"1,8",,2022-W14 Broccoli HVW07-S,harvest from 2022-W14 Broccoli HVW07-S,true,2022-12-05,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 26 north section,"2,34",,2022-W39 Spring onion HVE26-N,harvest from 2022-W39 Spring onion HVE26-N,true,2022-12-05,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 1 north section,"1,55",,2022-W33 Chives SGH1-N,harvest from 2022-W33 Chives SGH1-N,true,2022-12-05,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 23 north section,"1,47",,2022-W44 Coriander HVE23-N,harvest from 2022-W44 Coriander HVE23-N,true,2022-12-05,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"1,5",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-12-05,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 13 south section,"1,9",,2022-W19 Curly kale HVW13-S,harvest from 2022-W19 Curly kale HVW13-S,true,2022-12-05,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 18 north section,"10,72",,2022-W37 Green cabbage HVE18-N,harvest from 2022-W37 Green cabbage HVE18-N,true,2022-12-05,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 17 south section,"3,56",,2022-W40 Kolrabi HVE17-S,harvest from 2022-W40 Kolrabi HVE17-S,true,2022-12-05,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 18 north section,"0,99",,2022-W37 Kolrabi HVE18-N,harvest from 2022-W37 Kolrabi HVE18-N,true,2022-12-05,,,,plantings,weight,Kg
