species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut squash,HortasDoVale-East (HDVE) - bed 25 south section,"5,8",,2022-W13 Butternut squash HVE25-S,harvest from 2022-W13 Butternut squash HVE25-S,true,2022-07-25,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale-East (HDVE) - bed 25,"7,12",,2022-W12 Hokkaido squash HVE25,harvest from 2022-W12 Hokkaido squash HVE25,true,2022-07-25,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,"6,7",,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-07-25,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 2 south section,"1,7",,2022-W18 Celery HVW02-S,harvest from 2022-W18 Celery HVW02-S,true,2022-07-25,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 5,"0,8",,2022-W20 Celery HVW05,harvest from 2022-W20 Celery HVW05,true,2022-07-25,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 9 north section,"2,3",,2022-W26 Lettuce HVE09-N,harvest from 2022-W26 Lettuce HVE09-N,true,2022-07-25,,,,plantings,weight,Kg
Lettuce,Summer Green House (SGH) - bed 4 north section,"0,8",,2022-W27 Lettuce SGH4-N,harvest from 2022-W27 Lettuce SGH4-N,true,2022-07-25,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 north section,"12,6",,2022-W15 Leek HVE13-N,harvest from 2022-W15 Leek HVE13-N,true,2022-07-25,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"4,8",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-07-25,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 5,"3,1",,2022-W19 Aubergine HVW05,harvest from 2022-W19 Aubergine HVW05,true,2022-07-25,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 8 north section,"7,5",,2022-W25 Beetroot HVE08-N,harvest from 2022-W25 Beetroot HVE08-N,true,2022-07-25,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 9 north section,"18,2",,2022-W20 Beetroot HVE09-N,harvest from 2022-W20 Beetroot HVE09-N,true,2022-07-25,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 7 south section,4,,2022-W12 Beetroot HVW07-S,harvest from 2022-W12 Beetroot HVW07-S,true,2022-07-25,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"0,9",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-07-25,,,,plantings,weight,Kg
Coriander,Summer Green House (SGH) - bed 2 north section,"0,375",,2021-W44 Coriander SGH2-N,harvest from 2021-W44 Coriander SGH2-N,true,2022-07-25,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"2,4",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-07-25,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 14 south section,"3,7",,2022-W08 Green cabbage HVW14-S,harvest from 2022-W08 Green cabbage HVW14-S,true,2022-07-25,,,,plantings,weight,Kg
Purple cabbage,HortasDoVale-West (HDVW) - bed 14 north section,"1,9",,2022-W08 Purple cabbage HVW14-N,harvest from 2022-W08 Purple cabbage HVW14-N,true,2022-07-25,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 north section,"5,2",,2021-W34 Zucchini HVW11-N,harvest from 2021-W34 Zucchini HVW11-N,true,2022-07-25,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 south section,"8,99",,2022-W23 Zucchini HVW11-S,harvest from 2022-W23 Zucchini HVW11-S,true,2022-07-25,,,,plantings,weight,Kg
Spinaches,Summer Green House (SGH) - bed 2 north section,"3,06",,2022-W25 Spinaches SGH2-N,harvest from 2022-W25 Spinaches SGH2-N,true,2022-07-25,,,,plantings,weight,Kg
Fennel,HortasDoVale-West (HDVW) - bed 2 north section,"0,95",,2022-W18 Fennel bulb HVW02-N,harvest from 2022-W18 Fennel bulb HVW02-N,true,2022-07-25,,,,plantings,weight,Kg
Hot peppers,HortasDoVale-West (HDVW) - bed 20 south section,"0,465",,2021-W24 Hot peppers HVW20-S,harvest from 2021-W24 Hot peppers HVW20-S,true,2022-07-25,,,,plantings,weight,Kg
Basil,HortasDoVale-West (HDVW) - bed 15,"2,2",,2022-W21 Basil HVW15-N,harvest from 2022-W21 Basil HVW15-N,true,2022-07-25,,,,plantings,weight,Kg
Watermelon,HortasDoVale-West (HDVW) - bed 9,"19,3",,2022-W19 Watermelon HVW09,harvest from 2022-W19 Watermelon HVW09,true,2022-07-25,,,,plantings,weight,Kg
Melon round,HortasDoVale-West (HDVW) - bed 23 north section,"16,64",,2022-W19 Melon round HVW23-N,harvest from 2022-W19 Melon round HVW23-N,true,2022-07-25,,,,plantings,weight,Kg
Melon long,HortasDoVale-West (HDVW) - bed 23 south section,1,,2022-W19 Melon long HVW23-S,harvest from 2022-W19 Melon long HVW23-S,true,2022-07-25,,,,plantings,weight,Kg
Sweet corn,HortasDoVale-West (HDVW) - bed 1,"21,75",,2022-W16 Sweet corn HVW01,harvest from 2022-W16 Sweet corn HVW01,true,2022-07-25,,,,plantings,weight,Kg
Mizuna purple,HortasDoVale-East (HDVE) - bed 23 south section,"1,26",,2022-W27 Mizuna purple HVE23-S,harvest from 2022-W27 Mizuna purple HVE23-S,true,2022-07-25,,,,plantings,weight,Kg
Mizuna green,HortasDoVale-East (HDVE) - bed 23 south section,"1,56",,2022-W27 Mizuna green HVE23-S,harvest from 2022-W27 Mizuna green HVE23-S,true,2022-07-25,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,"10,1",,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-07-25,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,"13,4",,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-07-25,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,"11,7",,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-07-25,,,,plantings,weight,Kg
Turnip,HortasDoVale-East (HDVE) - bed 8 south section,4,,2022-W20 Turnip HVE08-S,harvest from 2022-W20 Turnip HVE08-S,true,2022-07-25,,,,plantings,weight,Kg
Pack choi,Summer Green House (SGH) - bed 4 south section,"8,2",,2022-W25 Pack choi SGH4-S,harvest from 2022-W25 Pack choi SGH4-S,true,2022-07-25,,,,plantings,weight,Kg
Cucumber,HortasDoVale-West (HDVW) - bed 11 north section,"0,3",,2021-W34 Cucumber HVW11-N,harvest from 2021-W34 Cucumber HVW11-N,true,2022-07-25,,,,plantings,weight,Kg
Cucumber,HortasDoVale-West (HDVW) - bed 11 south section,"3,9",,2022-W23 Cucumber HVW11-S,harvest from 2022-W23 Cucumber HVW11-S,true,2022-07-25,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 10,"2,8",,2022-W17 Peppers HVW10,harvest from 2022-W17 Peppers HVW10,true,2022-07-25,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 12,"3,4",,2022-W17 Peppers HVW12,harvest from 2022-W17 Peppers HVW12,true,2022-07-25,,,,plantings,weight,Kg
Padron peppers,HortasDoVale-West (HDVW) - bed 12 south section,"0,43",,2022-W17 Padron peppers HVW12-S,harvest from 2022-W17 Padron peppers HVW12-S,true,2022-07-25,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 10,"5,5",,2022-W17 Peppers HVW10,harvest from 2022-W17 Peppers HVW10,true,2022-07-25,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 12,"4,6",,2022-W17 Peppers HVW12,harvest from 2022-W17 Peppers HVW12,true,2022-07-25,,,,plantings,weight,Kg
Radishes,Summer Green House (SGH) - bed 1 north section,"3,4",,2022-W25 Radishes SGH1-N,harvest from 2022-W25 Radishes SGH1-N,true,2022-07-25,,,,plantings,weight,Kg
Horseradish,HortasDoVale-East (HDVE) - bed 4 north section,"16,3",,2022-W23 Horseradish HVE04-N,harvest from 2022-W23 Horseradish HVE04-N,true,2022-07-25,,,,plantings,weight,Kg
Rucula,HortasDoVale-East (HDVE) - bed 24 north section,"2,5",,2022-W22 Rucula HVE24-N,harvest from 2022-W22 Rucula HVE24-N,true,2022-07-25,,,,plantings,weight,Kg
Rucula,Summer Green House (SGH) - bed 3 south section,"1,5",,2022-W25 Rucula SGH3-S,harvest from 2022-W25 Rucula SGH3-S,true,2022-07-25,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 2 north section,"0,45",,2022-W08 Parsley SGH2-N,harvest from 2022-W08 Parsley SGH2-N,true,2022-07-25,,,,plantings,weight,Kg
Parsley,Summer Green House (SGH) - bed 4 north section,"0,525",,2021-W29 Parsley SGH4-N,harvest from 2021-W29 Parsley SGH4-N,true,2022-07-25,,,,plantings,weight,Kg
Parsley,HortasDoVale-West (HDVW) - bed 13 north section,"0,9",,2022-W22 Parsley HVW13-N,harvest from 2022-W22 Parsley HVW13-N,true,2022-07-25,,,,plantings,weight,Kg
Tomato roma,HortasDoVale-West (HDVW) - bed 10,"23,6",,2022-W17 Tomato roma HVW10,harvest from 2022-W17 Tomato roma HVW10,true,2022-07-25,,,,plantings,weight,Kg
Tomato roma,HortasDoVale-West (HDVW) - bed 12,35,,2022-W17 Tomato roma HVW12,harvest from 2022-W17 Tomato roma HVW12,true,2022-07-25,,,,plantings,weight,Kg
Tomatoes small,Winter Green House - bed 6,2,,2021-W14 Tomatoes small WGH6,harvest from 2021-W14 Tomatoes small WGH6,true,2022-07-25,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 15,11,,2022-W21 Tomatoes varied HVW15,harvest from 2022-W21 Tomatoes varied HVW15,true,2022-07-25,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 4,"0,6",,2022-W09 Tomatoes varied WGH4,harvest from 2022-W09 Tomatoes varied WGH4,true,2022-07-25,,,,plantings,weight,Kg
Tomatoes varied,Winter Green House - bed 6,"0,3",,2021-W14 Tomatoes varied WGH6,harvest from 2021-W14 Tomatoes varied WGH6,true,2022-07-25,,,,plantings,weight,Kg
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
