species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Hokkaido squash,HortasDoVale-East (HDVE) - bed 25,10,,2022-W12 Hokkaido squash HVE25-N,harvest from 2022-W12 Hokkaido squash HVE25-N,true,2022-06-13,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 14 north section,9,,2022-W20 Swiss chard HVE14-N,harvest from 2022-W20 Swiss chard HVE14-N,true,2022-06-13,,,,plantings,weight,Kg
Celery,Summer Green House (SGH) - bed 1 north section,"8,6",,2022-W10 Celery SGH1-N,harvest from 2022-W10 Celery SGH1-N,true,2022-06-13,,,,plantings,weight,Kg
Lettuce,Summer Green House (SGH) - bed 3 south section,"1,5",,2022-W19 Lettuce SGH3-S,harvest from 2022-W19 Lettuce SGH3-S,true,2022-06-13,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 5,10,,2022-W20 Lettuce HVW05,harvest from 2022-W20 Lettuce HVW05,true,2022-06-13,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 8,"7,5",,2022-W14 Lettuce HVW08,harvest from 2022-W14 Lettuce HVW08,true,2022-06-13,,,,plantings,weight,Kg
Aubergine,Winter Green House - bed 7,"0,9",,2022-W04 Aubergine WGH7,harvest from 2022-W04 Aubergine WGH7,true,2022-06-13,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 2 north section,"17,4",,2022-W18 Beetroot HVW02-N,harvest from 2022-W18 Beetroot HVW02-N,true,2022-06-13,,,,plantings,weight,Kg
Beetroot,HortasDoVale-West (HDVW) - bed 7 south section,"5,5",,2022-W12 Beetroot HVW07-S,harvest from 2022-W12 Beetroot HVW07-S,true,2022-06-13,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 1,"7,7",,2021-W38 Spring onion HVE01,harvest from 2021-W38 Spring onion HVE01,true,2022-06-13,,,,plantings,weight,Kg
Onion,HortasDoVale-East (HDVE) - bed 2,"1,85",,2022-W02 Onion HVE02,harvest from 2022-W02 Onion HVE02,true,2022-06-13,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 13 south section,"1,6",,2022-W19 Spring onion HVE13-S,harvest from 2022-W19 Spring onion HVE13-S,true,2022-06-13,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 8 north section,"2,08",,2022-W09 Spring onion HVE08-N,harvest from 2022-W09 Spring onion HVE08-N,true,2022-06-13,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,1,,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-06-13,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"1,95",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-06-13,,,,plantings,weight,Kg
Curly kale,HortasDoVale-West (HDVW) - bed 13 south section,"6,7",,2022-W19 Curly kale HVW13-S,harvest from 2022-W19 Curly kale HVW13-S,true,2022-06-13,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 27,"11,8",,2022-W06 Green cabbage HVE27,harvest from 2022-W06 Green cabbage HVE27,true,2022-06-13,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-West (HDVW) - bed 14 south section,"5,7",,2022-W08 Green cabbage HVW14-S,harvest from 2022-W08 Green cabbage HVW14-S,true,2022-06-13,,,,plantings,weight,Kg
Purple cabbage,HortasDoVale-East (HDVE) - bed 27 south section,"5,5",,2022-W07 Purple cabbage HVE27-S,harvest from 2022-W07 Purple cabbage HVE27-S,true,2022-06-13,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-West (HDVW) - bed 3,"13,8",,2022-W14 Kolrabi HVW03,harvest from 2022-W14 Kolrabi HVW03,true,2022-06-13,,,,plantings,weight,Kg
