species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Butternut squash,HortasDoVale-East (HDVE) - bed 25 south section,"3,2",,2022-W13 Butternut squash HVE25-S,harvest from 2022-W13 Butternut squash HVE25-S,true,2022-09-19,,,,plantings,weight,Kg
Hokkaido squash,HortasDoVale-East (HDVE) - bed 25,"6,6",,2022-W12 Hokkaido squash HVE25,harvest from 2022-W12 Hokkaido squash HVE25,true,2022-09-19,,,,plantings,weight,Kg
Muscade Pumpkin,HortasDoVale-East (HDVE) - bed 12,"10,9",,2022-W13 Muscade Pumpkin HVE12,harvest from 2022-W13 Muscade Pumpkin HVE12,true,2022-09-19,,,,plantings,weight,Kg
Swiss chard,HortasDoVale-East (HDVE) - bed 15 north section,14,,2022-W32 Swiss chard HVE15-N,harvest from 2022-W32 Swiss chard HVE15-N,true,2022-09-19,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 3,4,,2022-W23 Celery HVW03,harvest from 2022-W23 Celery HVW03,true,2022-09-19,,,,plantings,weight,Kg
Celery,HortasDoVale-West (HDVW) - bed 5,"5,8",,2022-W20 Celery HVW05,harvest from 2022-W20 Celery HVW05,true,2022-09-19,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 11,"12,24",,2021-W43 Lettuce HVE11-N,harvest from 2021-W43 Lettuce HVE11-N,true,2022-09-19,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 13 north section,"17,1",,2022-W15 Leek HVE13-N,harvest from 2022-W15 Leek HVE13-N,true,2022-09-19,,,,plantings,weight,Kg
Aubergine,HortasDoVale-East (HDVE) - bed 1 north section,"1,5",,2022-W29 Aubergine HVE01-N,harvest from 2022-W29 Aubergine HVE01-N,true,2022-09-19,,,,plantings,weight,Kg
Aubergine,HortasDoVale-West (HDVW) - bed 3,"10,5",,2022-W16 Aubergine HVW03,harvest from 2022-W16 Aubergine HVW03,true,2022-09-19,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 11,"12,1",,2021-W42 Beetroot HVE11-N,harvest from 2021-W42 Beetroot HVE11-N,true,2022-09-19,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 3 south section,"0,2",,2022-W28 Spring onion HVE03-S,harvest from 2022-W28 Spring onion HVE03-S,true,2022-09-19,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"0,55",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-09-19,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 24 south section,"0,075",,2022-W32 Coriander HVE24-S,harvest from 2022-W32 Coriander HVE24-S,true,2022-09-19,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 11,"3,9",,2022-W33 Kolrabi HVE11,harvest from 2022-W33 Kolrabi HVE11,true,2022-09-19,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 15 south section,"9,95",,2022-W32 Dinosaur kale HVE15-S,harvest from 2022-W32 Dinosaur kale HVE15-S,true,2022-09-19,,,,plantings,weight,Kg
Zucchini,HortasDoVale-East (HDVE) - bed 8 south section,"2,1",,2022-W33 Zucchini HVE08-S,harvest from 2022-W33 Zucchini HVE08-S,true,2022-09-19,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 11 south section,"1,68",,2022-W23 Zucchini HVW11-S,harvest from 2022-W23 Zucchini HVW11-S,true,2022-09-19,,,,plantings,weight,Kg
Zucchini,HortasDoVale-West (HDVW) - bed 20 south section,"4,6",,2022-W30 Zucchini HVW20-S,harvest from 2022-W30 Zucchini HVW20-S,true,2022-09-19,,,,plantings,weight,Kg
Fennel,HortasDoVale-East (HDVE) - bed 8 north section,"0,99",,2022-W11 Fennel bulb HVE08-N,harvest from 2022-W11 Fennel bulb HVE08-N,true,2022-09-19,,,,plantings,weight,Kg
Hot peppers,HortasDoVale-West (HDVW) - bed 20 south section,"0,23",,2021-W24 Hot peppers HVW20-S,harvest from 2021-W24 Hot peppers HVW20-S,true,2022-09-19,,,,plantings,weight,Kg
Basil,HortasDoVale-West (HDVW) - bed 15 north section,"2,04",,2022-W21 Basil HVW15-N,harvest from 2022-W21 Basil HVW15-N,true,2022-09-19,,,,plantings,weight,Kg
Basil,HortasDoVale-West (HDVW) - bed 20 north section,"1,2",,2022-W31 Basil HVW20-N,harvest from 2022-W31 Basil HVW20-N,true,2022-09-19,,,,plantings,weight,Kg
Watermelon,HortasDoVale-West (HDVW) - bed 17,"34,6",,2022-W22 Watermelon HVW17,harvest from 2022-W22 Watermelon HVW17,true,2022-09-19,,,,plantings,weight,Kg
Mizuna purple,HortasDoVale-East (HDVE) - bed 24 south section,2,,2022-W32 Mizuna purple HVE24-S,harvest from 2022-W32 Mizuna purple HVE24-S,true,2022-09-19,,,,plantings,weight,Kg
Mizuna green,HortasDoVale-East (HDVE) - bed 24 south section,"1,7",,2022-W32 Mizuna green HVE24-S,harvest from 2022-W32 Mizuna green HVE24-S,true,2022-09-19,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 5,"5,77",,2021-W49 Strawberry HVE05,harvest from 2021-W49 Strawberry HVE05,true,2022-09-19,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 6,"6,8",,2021-W49 Strawberry HVE06,harvest from 2021-W49 Strawberry HVE06,true,2022-09-19,,,,plantings,weight,Kg
Strawberry,HortasDoVale-East (HDVE) - bed 7,"5,72",,2021-W49 Strawberry HVE07,harvest from 2021-W49 Strawberry HVE07,true,2022-09-19,,,,plantings,weight,Kg
Pack choi,Summer Green House (SGH) - bed 2 north section,"1,7",,2022-W34 Pack choi SGH2-N,harvest from 2022-W34 Pack choi SGH2-N,true,2022-09-19,,,,plantings,weight,Kg
Cucumber,HortasDoVale-East (HDVE) - bed 8 south section,"2,8",,2022-W33 Cucumber HVE08-S,harvest from 2022-W33 Cucumber HVE08-S,true,2022-09-19,,,,plantings,weight,Kg
Cucumber,HortasDoVale-West (HDVW) - bed 20 south section,"0,47",,2022-W30 Cucumber HVW20-S,harvest from 2022-W30 Cucumber HVW20-S,true,2022-09-19,,,,plantings,weight,Kg
Padron peppers,HortasDoVale-West (HDVW) - bed 12 south section,"0,71",,2022-W17 Padron peppers HVW12-S,harvest from 2022-W17 Padron peppers HVW12-S,true,2022-09-19,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 10,2,,2022-W17 Peppers HVW10,harvest from 2022-W17 Peppers HVW10,true,2022-09-19,,,,plantings,weight,Kg
Peppers,HortasDoVale-West (HDVW) - bed 12,"1,7",,2022-W17 Peppers HVW12,harvest from 2022-W17 Peppers HVW12,true,2022-09-19,,,,plantings,weight,Kg
Radishes,HortasDoVale-East (HDVE) - bed 24 north section,2,,2022-W32 Radishes HVE24-N,harvest from 2022-W32 Radishes HVE24-N,true,2022-09-19,,,,plantings,weight,Kg
Horseradish,HortasDoVale-East (HDVE) - bed 2 south section,"10,6",,2022-W29 Horseradish HVE02-S,harvest from 2022-W29 Horseradish HVE02-S,true,2022-09-19,,,,plantings,weight,Kg
Rucula,HortasDoVale-East (HDVE) - bed 24 south section,"3,99",,2022-W19 Rucula HVE24-S,harvest from 2022-W19 Rucula HVE24-S,true,2022-09-19,,,,plantings,weight,Kg
Parsley,HortasDoVale-East (HDVE) - bed 2 north section,"1,575",,2022-W29 Parsley HVE02-N,harvest from 2022-W29 Parsley HVE02-N,true,2022-09-19,,,,plantings,weight,Kg
Parsley,HortasDoVale-West (HDVW) - bed 13 north section,"2,1",,2022-W22 Parsley HVW13-N,harvest from 2022-W22 Parsley HVW13-N,true,2022-09-19,,,,plantings,weight,Kg
Tomato roma,HortasDoVale-West (HDVW) - bed 22,"10,4",,2022-W20 Tomato roma HVW22,harvest from 2022-W20 Tomato roma HVW22,true,2022-09-19,,,,plantings,weight,Kg
Tomatoes small,HortasDoVale-West (HDVW) - bed 20 north section,"0,15",,2022-W30 Tomatoes small HVW20-N,harvest from 2022-W30 Tomatoes small HVW20-N,true,2022-09-19,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 15,"7,5",,2022-W21 Tomatoes varied HVW15,harvest from 2022-W21 Tomatoes varied HVW15,true,2022-09-19,,,,plantings,weight,Kg
Tomatoes varied,HortasDoVale-West (HDVW) - bed 20 north section,5,,2022-W30 Tomatoes varied HVW20-N,harvest from 2022-W30 Tomatoes varied HVW20-N,true,2022-09-19,,,,plantings,weight,Kg
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
