species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Swiss chard,HortasDoVale-West (HDVW) - bed 7 north section,11,,2022-W11 Swiss chard HVW07-N,harvest from 2022-W11 Swiss chard HVW07-N,true,2022-05-09,,,,plantings,weight,Kg
Land cress,HortasDoVale-East (HDVE) - bed 24 north section,"0,99",,2022-W01 Land cress HVE24-N,harvest from 2022-W01 Land cress HVE24-N,true,2022-05-09,,,,plantings,weight,Kg
Land cress,Summer Green House (SGH) - bed 4 north section,"0,55",,2022-W13 Land cress SGH4-N,harvest from 2022-W13 Land cress SGH4-N,true,2022-05-09,,,,plantings,weight,Kg
Celery,HortasDoVale-East (HDVE) - bed 23 north section,"11,8",,2021-W52 Celery HVE23-N,harvest from 2021-W52 Celery HVE23-N,true,2022-05-09,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 26 north section,7,,2022-W10 Lettuce HVE26-N,harvest from 2022-W10 Lettuce HVE26-N,true,2022-05-09,,,,plantings,weight,Kg
Lettuce,HortasDoVale-East (HDVE) - bed 27,"6,5",,2022-W07 Lettuce HVE27,harvest from 2022-W07 Lettuce HVE27,true,2022-05-09,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 4,8,,2021-W37 Lettuce HVW04-N,harvest from 2021-W37 Lettuce HVW04-N,true,2022-05-09,,,,plantings,weight,Kg
Lettuce,HortasDoVale-West (HDVW) - bed 7 south section,11,,2022-W12 Lettuce HVW07-S,harvest from 2022-W12 Lettuce HVW07-S,true,2022-05-09,,,,plantings,weight,Kg
Leek,HortasDoVale-East (HDVE) - bed 18 south section,"6,5",,2021-W46 Leek HVE18-S,harvest from 2021-W46 Leek HVE18-S,true,2022-05-09,,,,plantings,weight,Kg
Garlic,HortasDoVale-East (HDVE) - bed 18 north section,"0,44",,2021-W46 Garlic HVE18-N,harvest from 2021-W46 Garlic HVE18-N,true,2022-05-09,,,,plantings,weight,Kg
Dill,HortasDoVale-East (HDVE) - bed 24 south section,"1,6",,2022-W14 Dill HVE24-S,harvest from 2022-W14 Dill HVE24-S,true,2022-05-09,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 19,"31,8",,2022-W04 Potato HVE19,harvest from 2022-W04 Potato HVE19,true,2022-05-09,,,,plantings,weight,Kg
Potato,HortasDoVale-East (HDVE) - bed 20,"7,3",,2022-W04 Potato HVE20,harvest from 2022-W04 Potato HVE20,true,2022-05-09,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 16 south section,4,,2022-W04 Beetroot HVE16-S,harvest from 2022-W04 Beetroot HVE16-S,true,2022-05-09,,,,plantings,weight,Kg
Beetroot,HortasDoVale-East (HDVE) - bed 21 north section,11,,2022-W05 Beetroot HVE21-N,harvest from 2022-W05 Beetroot HVE21-N,true,2022-05-09,,,,plantings,weight,Kg
Lambs lettuce,Summer Green House (SGH) - bed 4 south section,"1,32",,2022-W10 Lambs lettuce SGH4-S,harvest from 2022-W10 Lambs lettuce SGH4-S,true,2022-05-09,,,,plantings,weight,Kg
Spring onion,HortasDoVale-East (HDVE) - bed 8 north section,"2,8",,2022-W09 Spring onion HVE08-N,harvest from 2022-W09 Spring onion HVE08-N,true,2022-05-09,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 north section,"1,1",,2022-W12 Chives SGH3-N,harvest from 2022-W12 Chives SGH3-N,true,2022-05-09,,,,plantings,weight,Kg
Coriander,HortasDoVale-East (HDVE) - bed 13 south section,"1,885",,2022-W14 Coriander HVE13-S,harvest from 2022-W14 Coriander HVE13-S,true,2022-05-09,,,,plantings,weight,Kg
Curly kale,HortasDoVale-East (HDVE) - bed 14 south section,"3,3",,2022-W08 Curly kale HVE14-S,harvest from 2022-W08 Curly kale HVE14-S,true,2022-05-09,,,,plantings,weight,Kg
Green cabbage,HortasDoVale-East (HDVE) - bed 27,"31,3",,2022-W06 Green cabbage HVE27,harvest from 2022-W06 Green cabbage HVE27,true,2022-05-09,,,,plantings,weight,Kg
Kolrabi,HortasDoVale-East (HDVE) - bed 27,"32,4",,2022-W06 Kolrabi HVE27,harvest from 2022-W06 Kolrabi HVE27,true,2022-05-09,,,,plantings,weight,Kg
Dinosaur kale,HortasDoVale-East (HDVE) - bed 14 south section,"4,2",,2022-W08 Dinosaur kale HVE14-S,harvest from 2022-W08 Dinosaur kale HVE14-S,true,2022-05-09,,,,plantings,weight,Kg
