Bulk update,image_target_id,ID,Asset name,Land type,Asset type,Flags,Parents,Group,Location,Status
,,495,HortasDoVale-West (HDVW) - bed 4 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 4,,,Active
,,494,HortasDoVale-West (HDVW) - bed 4 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 4,,,Active
,,493,HortasDoVale-West (HDVW) - bed 3 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 3,,,Active
,,492,HortasDoVale-West (HDVW) - bed 3 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 3,,,Active
,,491,HortasDoVale-West (HDVW) - bed 2 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 2,,,Active
,,490,HortasDoVale-West (HDVW) - bed 2 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 2,,,Active
,,489,HortasDoVale-West (HDVW) - bed 1 south section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 1,,,Active
,,488,HortasDoVale-West (HDVW) - bed 1 north section,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW) - bed 1,,,Active
,,487,HortasDoVale-West (HDVW) - bed 1,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,486,HortasDoVale-West (HDVW) - bed 2,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,485,HortasDoVale-West (HDVW) - bed 3,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,484,HortasDoVale-West (HDVW) - bed 4,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,483,HortasDoVale-West (HDVW) - bed 5,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,482,HortasDoVale-West (HDVW) - bed 6,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,481,HortasDoVale-West (HDVW) - bed 7,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,480,HortasDoVale-West (HDVW) - bed 8,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,479,HortasDoVale-West (HDVW) - bed 9,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,478,HortasDoVale-West (HDVW) - bed 10,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,477,HortasDoVale-West (HDVW) - bed 11,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,476,HortasDoVale-West (HDVW) - bed 12,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,475,HortasDoVale-West (HDVW) - bed 13,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,474,HortasDoVale-West (HDVW) - bed 14,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,473,HortasDoVale-West (HDVW) - bed 15,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,472,HortasDoVale-West (HDVW) - bed 16,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,471,HortasDoVale-West (HDVW) - bed 17,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,470,HortasDoVale-West (HDVW) - bed 18,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,469,HortasDoVale-West (HDVW) - bed 19,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,468,HortasDoVale-West (HDVW) - bed 20,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,467,HortasDoVale-West (HDVW) - bed 21,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,466,HortasDoVale-West (HDVW) - bed 22,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,465,HortasDoVale-West (HDVW) - bed 23,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,464,HortasDoVale-West (HDVW) - bed 24,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,463,HortasDoVale-West (HDVW) - bed 25,Bed,Land,"Flags
          
              Organic",HortasDoVale-West (HDVW),,,Active
,,462,HortasDoVale-West (HDVW),Field,Land,"Flags
          
              Organic",19U,,,Active
,,461,Summer Green House (SGH) - bed 4 north section,Bed,Land,"Flags
          
              Organic",SGH-N : Summer Green House North Section,,,Active
