species,Areas,Quantity value,Notes,Asset names,Log name,Done,Date,Archive assets,Quantity label,Lot number,Categories,Quantity measure,Quantity unit
Strawberry,HortasDoVale-West (HDVW) - bed 24,"4,5",,2021-W04 Strawberry HVW24,harvest from 2021-W04 Strawberry HVW24,TRUE,2021-11-08,,,,plantings,weight,Kg
Chives,Summer Green House (SGH) - bed 3 south section,"0,9",,2021-W10 Chives SGH3-S,harvest from 2021-W10 Chives SGH3-S,TRUE,2021-11-08,,,,plantings,weight,Kg
Zuccini,Winter Green House - bed 5,"0,31",,2021-W10 Zuccini WGH5,harvest from 2021-W10 Zuccini WGH5,TRUE,2021-10-11,,,,plantings,weight,Kg
Hot peppers,HortasDoVale-West (HDVW) - bed 20 south section,"0,16",,2021-W24 Hot peppers HVW20-S,harvest from 2021-W24 Hot peppers HVW20-S,TRUE,2022-01-24,,,,plantings,weight,Kg
Sweet potato,HortasDoVale-East (HDVE) - bed 4 north section,"22,3",,2021-W24 Sweet potato HVE04-N,harvest from 2021-W24 Sweet potato HVE04-N,TRUE,2021-10-18,,,,plantings,weight,Kg
